"EntityType","EntityName","Slug","AssetType","RelativePath","IncomingFileName","RequiredForV1","Notes"
"Fighter","Johnny Cage","johnny-cage","Model3D","public/assets/fighters/johnny-cage/model.glb","johnny-cage_model.glb","No","Optional GLB model for selected fighter detail screen."
"Skin","Johnny Cage - default","johnny-cage","default","public/assets/skins/johnny-cage/default.webp","johnny-cage_skin_default.webp","No","Optional skin image for future skin selector."
"Skin","Johnny Cage - klassic","johnny-cage","klassic","public/assets/skins/johnny-cage/klassic.webp","johnny-cage_skin_klassic.webp","No","Optional skin image for future skin selector."
"Skin","Johnny Cage - seasonal","johnny-cage","seasonal","public/assets/skins/johnny-cage/seasonal.webp","johnny-cage_skin_seasonal.webp","No","Optional skin image for future skin selector."
"Skin","Johnny Cage - premium","johnny-cage","premium","public/assets/skins/johnny-cage/premium.webp","johnny-cage_skin_premium.webp","No","Optional skin image for future skin selector."
"Fighter","Kenshi Takahashi","kenshi-takahashi","Portrait","public/assets/fighters/kenshi-takahashi/portrait.webp","kenshi-takahashi_portrait.webp","Yes","Square portrait, recommended 768x768 or 1024x1024 WebP."
"Fighter","Kenshi Takahashi","kenshi-takahashi","FullBody","public/assets/fighters/kenshi-takahashi/fullbody.webp","kenshi-takahashi_fullbody.webp","Yes","Transparent/cut-out full-body render, recommended 1200x1600 WebP."
"Fighter","Kenshi Takahashi","kenshi-takahashi","Background","public/assets/fighters/kenshi-takahashi/background.webp","kenshi-takahashi_background.webp","Yes","Cinematic card background, recommended 1600x900 WebP."
"Fighter","Kenshi Takahashi","kenshi-takahashi","Model3D","public/assets/fighters/kenshi-takahashi/model.glb","kenshi-takahashi_model.glb","No","Optional GLB model for selected fighter detail screen."
"Skin","Kenshi Takahashi - default","kenshi-takahashi","default","public/assets/skins/kenshi-takahashi/default.webp","kenshi-takahashi_skin_default.webp","No","Optional skin image for future skin selector."
"Skin","Kenshi Takahashi - klassic","kenshi-takahashi","klassic","public/assets/skins/kenshi-takahashi/klassic.webp","kenshi-takahashi_skin_klassic.webp","No","Optional skin image for future skin selector."
"Skin","Kenshi Takahashi - seasonal","kenshi-takahashi","seasonal","public/assets/skins/kenshi-takahashi/seasonal.webp","kenshi-takahashi_skin_seasonal.webp","No","Optional skin image for future skin selector."
"Skin","Kenshi Takahashi - premium","kenshi-takahashi","premium","public/assets/skins/kenshi-takahashi/premium.webp","kenshi-takahashi_skin_premium.webp","No","Optional skin image for future skin selector."
"Fighter","Smoke","smoke","Portrait","public/assets/fighters/smoke/portrait.webp","smoke_portrait.webp","Yes","Square portrait, recommended 768x768 or 1024x1024 WebP."
"Fighter","Smoke","smoke","FullBody","public/assets/fighters/smoke/fullbody.webp","smoke_fullbody.webp","Yes","Transparent/cut-out full-body render, recommended 1200x1600 WebP."
"Fighter","Smoke","smoke","Background","public/assets/fighters/smoke/background.webp","smoke_background.webp","Yes","Cinematic card background, recommended 1600x900 WebP."
"Fighter","Smoke","smoke","Model3D","public/assets/fighters/smoke/model.glb","smoke_model.glb","No","Optional GLB model for selected fighter detail screen."
"Skin","Smoke - default","smoke","default","public/assets/skins/smoke/default.webp","smoke_skin_default.webp","No","Optional skin image for future skin selector."
"Skin","Smoke - klassic","smoke","klassic","public/assets/skins/smoke/klassic.webp","smoke_skin_klassic.webp","No","Optional skin image for future skin selector."
"Skin","Smoke - seasonal","smoke","seasonal","public/assets/skins/smoke/seasonal.webp","smoke_skin_seasonal.webp","No","Optional skin image for future skin selector."
"Skin","Smoke - premium","smoke","premium","public/assets/skins/smoke/premium.webp","smoke_skin_premium.webp","No","Optional skin image for future skin selector."
"Fighter","Rain","rain","Portrait","public/assets/fighters/rain/portrait.webp","rain_portrait.webp","Yes","Square portrait, recommended 768x768 or 1024x1024 WebP."
"Fighter","Rain","rain","FullBody","public/assets/fighters/rain/fullbody.webp","rain_fullbody.webp","Yes","Transparent/cut-out full-body render, recommended 1200x1600 WebP."
"Fighter","Rain","rain","Background","public/assets/fighters/rain/background.webp","rain_background.webp","Yes","Cinematic card background, recommended 1600x900 WebP."
"Fighter","Rain","rain","Model3D","public/assets/fighters/rain/model.glb","rain_model.glb","No","Optional GLB model for selected fighter detail screen."
"Skin","Rain - default","rain","default","public/assets/skins/rain/default.webp","rain_skin_default.webp","No","Optional skin image for future skin selector."
"Skin","Rain - klassic","rain","klassic","public/assets/skins/rain/klassic.webp","rain_skin_klassic.webp","No","Optional skin image for future skin selector."
"Skin","Rain - seasonal","rain","seasonal","public/assets/skins/rain/seasonal.webp","rain_skin_seasonal.webp","No","Optional skin image for future skin selector."
"Skin","Rain - premium","rain","premium","public/assets/skins/rain/premium.webp","rain_skin_premium.webp","No","Optional skin image for future skin selector."
"Fighter","Li Mei","li-mei","Portrait","public/assets/fighters/li-mei/portrait.webp","li-mei_portrait.webp","Yes","Square portrait, recommended 768x768 or 1024x1024 WebP."
"Fighter","Li Mei","li-mei","FullBody","public/assets/fighters/li-mei/fullbody.webp","li-mei_fullbody.webp","Yes","Transparent/cut-out full-body render, recommended 1200x1600 WebP."
"Fighter","Li Mei","li-mei","Background","public/assets/fighters/li-mei/background.webp","li-mei_background.webp","Yes","Cinematic card background, recommended 1600x900 WebP."
"Fighter","Li Mei","li-mei","Model3D","public/assets/fighters/li-mei/model.glb","li-mei_model.glb","No","Optional GLB model for selected fighter detail screen."
"Skin","Li Mei - default","li-mei","default","public/assets/skins/li-mei/default.webp","li-mei_skin_default.webp","No","Optional skin image for future skin selector."
"Skin","Li Mei - klassic","li-mei","klassic","public/assets/skins/li-mei/klassic.webp","li-mei_skin_klassic.webp","No","Optional skin image for future skin selector."
"Skin","Li Mei - seasonal","li-mei","seasonal","public/assets/skins/li-mei/seasonal.webp","li-mei_skin_seasonal.webp","No","Optional skin image for future skin selector."
"Skin","Li Mei - premium","li-mei","premium","public/assets/skins/li-mei/premium.webp","li-mei_skin_premium.webp","No","Optional skin image for future skin selector."
"Fighter","Tanya","tanya","Portrait","public/assets/fighters/tanya/portrait.webp","tanya_portrait.webp","Yes","Square portrait, recommended 768x768 or 1024x1024 WebP."
"Fighter","Tanya","tanya","FullBody","public/assets/fighters/tanya/fullbody.webp","tanya_fullbody.webp","Yes","Transparent/cut-out full-body render, recommended 1200x1600 WebP."
"Fighter","Tanya","tanya","Background","public/assets/fighters/tanya/background.webp","tanya_background.webp","Yes","Cinematic card background, recommended 1600x900 WebP."
"Fighter","Tanya","tanya","Model3D","public/assets/fighters/tanya/model.glb","tanya_model.glb","No","Optional GLB model for selected fighter detail screen."
"Skin","Tanya - default","tanya","default","public/assets/skins/tanya/default.webp","tanya_skin_default.webp","No","Optional skin image for future skin selector."
"Skin","Tanya - klassic","tanya","klassic","public/assets/skins/tanya/klassic.webp","tanya_skin_klassic.webp","No","Optional skin image for future skin selector."
"Skin","Tanya - seasonal","tanya","seasonal","public/assets/skins/tanya/seasonal.webp","tanya_skin_seasonal.webp","No","Optional skin image for future skin selector."
"Skin","Tanya - premium","tanya","premium","public/assets/skins/tanya/premium.webp","tanya_skin_premium.webp","No","Optional skin image for future skin selector."
"Fighter","Baraka","baraka","Portrait","public/assets/fighters/baraka/portrait.webp","baraka_portrait.webp","Yes","Square portrait, recommended 768x768 or 1024x1024 WebP."
"Fighter","Baraka","baraka","FullBody","public/assets/fighters/baraka/fullbody.webp","baraka_fullbody.webp","Yes","Transparent/cut-out full-body render, recommended 1200x1600 WebP."
"Fighter","Baraka","baraka","Background","public/assets/fighters/baraka/background.webp","baraka_background.webp","Yes","Cinematic card background, recommended 1600x900 WebP."
"Fighter","Baraka","baraka","Model3D","public/assets/fighters/baraka/model.glb","baraka_model.glb","No","Optional GLB model for selected fighter detail screen."
"Skin","Baraka - default","baraka","default","public/assets/skins/baraka/default.webp","baraka_skin_default.webp","No","Optional skin image for future skin selector."
"Skin","Baraka - klassic","baraka","klassic","public/assets/skins/baraka/klassic.webp","baraka_skin_klassic.webp","No","Optional skin image for future skin selector."
"Skin","Baraka - seasonal","baraka","seasonal","public/assets/skins/baraka/seasonal.webp","baraka_skin_seasonal.webp","No","Optional skin image for future skin selector."
"Skin","Baraka - premium","baraka","premium","public/assets/skins/baraka/premium.webp","baraka_skin_premium.webp","No","Optional skin image for future skin selector."
"Fighter","Geras","geras","Portrait","public/assets/fighters/geras/portrait.webp","geras_portrait.webp","Yes","Square portrait, recommended 768x768 or 1024x1024 WebP."
"Fighter","Geras","geras","FullBody","public/assets/fighters/geras/fullbody.webp","geras_fullbody.webp","Yes","Transparent/cut-out full-body render, recommended 1200x1600 WebP."
"Fighter","Geras","geras","Background","public/assets/fighters/geras/background.webp","geras_background.webp","Yes","Cinematic card background, recommended 1600x900 WebP."
"Fighter","Geras","geras","Model3D","public/assets/fighters/geras/model.glb","geras_model.glb","No","Optional GLB model for selected fighter detail screen."
"Skin","Geras - default","geras","default","public/assets/skins/geras/default.webp","geras_skin_default.webp","No","Optional skin image for future skin selector."
"Skin","Geras - klassic","geras","klassic","public/assets/skins/geras/klassic.webp","geras_skin_klassic.webp","No","Optional skin image for future skin selector."
"Skin","Geras - seasonal","geras","seasonal","public/assets/skins/geras/seasonal.webp","geras_skin_seasonal.webp","No","Optional skin image for future skin selector."
"Skin","Geras - premium","geras","premium","public/assets/skins/geras/premium.webp","geras_skin_premium.webp","No","Optional skin image for future skin selector."
"Fighter","Reptile","reptile","Portrait","public/assets/fighters/reptile/portrait.webp","reptile_portrait.webp","Yes","Square portrait, recommended 768x768 or 1024x1024 WebP."
"Fighter","Reptile","reptile","FullBody","public/assets/fighters/reptile/fullbody.webp","reptile_fullbody.webp","Yes","Transparent/cut-out full-body render, recommended 1200x1600 WebP."
"Fighter","Reptile","reptile","Background","public/assets/fighters/reptile/background.webp","reptile_background.webp","Yes","Cinematic card background, recommended 1600x900 WebP."
"Fighter","Reptile","reptile","Model3D","public/assets/fighters/reptile/model.glb","reptile_model.glb","No","Optional GLB model for selected fighter detail screen."
"Skin","Reptile - default","reptile","default","public/assets/skins/reptile/default.webp","reptile_skin_default.webp","No","Optional skin image for future skin selector."
"Skin","Reptile - klassic","reptile","klassic","public/assets/skins/reptile/klassic.webp","reptile_skin_klassic.webp","No","Optional skin image for future skin selector."
"Skin","Reptile - seasonal","reptile","seasonal","public/assets/skins/reptile/seasonal.webp","reptile_skin_seasonal.webp","No","Optional skin image for future skin selector."
"Skin","Reptile - premium","reptile","premium","public/assets/skins/reptile/premium.webp","reptile_skin_premium.webp","No","Optional skin image for future skin selector."
"Fighter","Ashrah","ashrah","Portrait","public/assets/fighters/ashrah/portrait.webp","ashrah_portrait.webp","Yes","Square portrait, recommended 768x768 or 1024x1024 WebP."
"Fighter","Ashrah","ashrah","FullBody","public/assets/fighters/ashrah/fullbody.webp","ashrah_fullbody.webp","Yes","Transparent/cut-out full-body render, recommended 1200x1600 WebP."
"Fighter","Ashrah","ashrah","Background","public/assets/fighters/ashrah/background.webp","ashrah_background.webp","Yes","Cinematic card background, recommended 1600x900 WebP."
"Fighter","Ashrah","ashrah","Model3D","public/assets/fighters/ashrah/model.glb","ashrah_model.glb","No","Optional GLB model for selected fighter detail screen."
"Skin","Ashrah - default","ashrah","default","public/assets/skins/ashrah/default.webp","ashrah_skin_default.webp","No","Optional skin image for future skin selector."
"Skin","Ashrah - klassic","ashrah","klassic","public/assets/skins/ashrah/klassic.webp","ashrah_skin_klassic.webp","No","Optional skin image for future skin selector."
"Skin","Ashrah - seasonal","ashrah","seasonal","public/assets/skins/ashrah/seasonal.webp","ashrah_skin_seasonal.webp","No","Optional skin image for future skin selector."
"Skin","Ashrah - premium","ashrah","premium","public/assets/skins/ashrah/premium.webp","ashrah_skin_premium.webp","No","Optional skin image for future skin selector."
"Fighter","Havik","havik","Portrait","public/assets/fighters/havik/portrait.webp","havik_portrait.webp","Yes","Square portrait, recommended 768x768 or 1024x1024 WebP."
"Fighter","Havik","havik","FullBody","public/assets/fighters/havik/fullbody.webp","havik_fullbody.webp","Yes","Transparent/cut-out full-body render, recommended 1200x1600 WebP."
"Fighter","Havik","havik","Background","public/assets/fighters/havik/background.webp","havik_background.webp","Yes","Cinematic card background, recommended 1600x900 WebP."
"Fighter","Havik","havik","Model3D","public/assets/fighters/havik/model.glb","havik_model.glb","No","Optional GLB model for selected fighter detail screen."
"Skin","Havik - default","havik","default","public/assets/skins/havik/default.webp","havik_skin_default.webp","No","Optional skin image for future skin selector."
"Skin","Havik - klassic","havik","klassic","public/assets/skins/havik/klassic.webp","havik_skin_klassic.webp","No","Optional skin image for future skin selector."
"Skin","Havik - seasonal","havik","seasonal","public/assets/skins/havik/seasonal.webp","havik_skin_seasonal.webp","No","Optional skin image for future skin selector."
"Skin","Havik - premium","havik","premium","public/assets/skins/havik/premium.webp","havik_skin_premium.webp","No","Optional skin image for future skin selector."
"Fighter","General Shao","general-shao","Portrait","public/assets/fighters/general-shao/portrait.webp","general-shao_portrait.webp","Yes","Square portrait, recommended 768x768 or 1024x1024 WebP."
"Fighter","General Shao","general-shao","FullBody","public/assets/fighters/general-shao/fullbody.webp","general-shao_fullbody.webp","Yes","Transparent/cut-out full-body render, recommended 1200x1600 WebP."
"Fighter","General Shao","general-shao","Background","public/assets/fighters/general-shao/background.webp","general-shao_background.webp","Yes","Cinematic card background, recommended 1600x900 WebP."
"Fighter","General Shao","general-shao","Model3D","public/assets/fighters/general-shao/model.glb","general-shao_model.glb","No","Optional GLB model for selected fighter detail screen."
"Skin","General Shao - default","general-shao","default","public/assets/skins/general-shao/default.webp","general-shao_skin_default.webp","No","Optional skin image for future skin selector."
"Skin","General Shao - klassic","general-shao","klassic","public/assets/skins/general-shao/klassic.webp","general-shao_skin_klassic.webp","No","Optional skin image for future skin selector."
"Skin","General Shao - seasonal","general-shao","seasonal","public/assets/skins/general-shao/seasonal.webp","general-shao_skin_seasonal.webp","No","Optional skin image for future skin selector."
"Skin","General Shao - premium","general-shao","premium","public/assets/skins/general-shao/premium.webp","general-shao_skin_premium.webp","No","Optional skin image for future skin selector."
"Fighter","Sindel","sindel","Portrait","public/assets/fighters/sindel/portrait.webp","sindel_portrait.webp","Yes","Square portrait, recommended 768x768 or 1024x1024 WebP."
"Fighter","Sindel","sindel","FullBody","public/assets/fighters/sindel/fullbody.webp","sindel_fullbody.webp","Yes","Transparent/cut-out full-body render, recommended 1200x1600 WebP."
"Fighter","Sindel","sindel","Background","public/assets/fighters/sindel/background.webp","sindel_background.webp","Yes","Cinematic card background, recommended 1600x900 WebP."
"Fighter","Sindel","sindel","Model3D","public/assets/fighters/sindel/model.glb","sindel_model.glb","No","Optional GLB model for selected fighter detail screen."
"Skin","Sindel - default","sindel","default","public/assets/skins/sindel/default.webp","sindel_skin_default.webp","No","Optional skin image for future skin selector."
"Skin","Sindel - klassic","sindel","klassic","public/assets/skins/sindel/klassic.webp","sindel_skin_klassic.webp","No","Optional skin image for future skin selector."
"Skin","Sindel - seasonal","sindel","seasonal","public/assets/skins/sindel/seasonal.webp","sindel_skin_seasonal.webp","No","Optional skin image for future skin selector."
"Skin","Sindel - premium","sindel","premium","public/assets/skins/sindel/premium.webp","sindel_skin_premium.webp","No","Optional skin image for future skin selector."
"Fighter","Reiko","reiko","Portrait","public/assets/fighters/reiko/portrait.webp","reiko_portrait.webp","Yes","Square portrait, recommended 768x768 or 1024x1024 WebP."
"Fighter","Reiko","reiko","FullBody","public/assets/fighters/reiko/fullbody.webp","reiko_fullbody.webp","Yes","Transparent/cut-out full-body render, recommended 1200x1600 WebP."
"Fighter","Reiko","reiko","Background","public/assets/fighters/reiko/background.webp","reiko_background.webp","Yes","Cinematic card background, recommended 1600x900 WebP."
"Fighter","Reiko","reiko","Model3D","public/assets/fighters/reiko/model.glb","reiko_model.glb","No","Optional GLB model for selected fighter detail screen."
"Skin","Reiko - default","reiko","default","public/assets/skins/reiko/default.webp","reiko_skin_default.webp","No","Optional skin image for future skin selector."
"Skin","Reiko - klassic","reiko","klassic","public/assets/skins/reiko/klassic.webp","reiko_skin_klassic.webp","No","Optional skin image for future skin selector."
"Skin","Reiko - seasonal","reiko","seasonal","public/assets/skins/reiko/seasonal.webp","reiko_skin_seasonal.webp","No","Optional skin image for future skin selector."
"Skin","Reiko - premium","reiko","premium","public/assets/skins/reiko/premium.webp","reiko_skin_premium.webp","No","Optional skin image for future skin selector."
"Fighter","Nitara","nitara","Portrait","public/assets/fighters/nitara/portrait.webp","nitara_portrait.webp","Yes","Square portrait, recommended 768x768 or 1024x1024 WebP."
"Fighter","Nitara","nitara","FullBody","public/assets/fighters/nitara/fullbody.webp","nitara_fullbody.webp","Yes","Transparent/cut-out full-body render, recommended 1200x1600 WebP."
"Fighter","Nitara","nitara","Background","public/assets/fighters/nitara/background.webp","nitara_background.webp","Yes","Cinematic card background, recommended 1600x900 WebP."
"Fighter","Nitara","nitara","Model3D","public/assets/fighters/nitara/model.glb","nitara_model.glb","No","Optional GLB model for selected fighter detail screen."
"Skin","Nitara - default","nitara","default","public/assets/skins/nitara/default.webp","nitara_skin_default.webp","No","Optional skin image for future skin selector."
"Skin","Nitara - klassic","nitara","klassic","public/assets/skins/nitara/klassic.webp","nitara_skin_klassic.webp","No","Optional skin image for future skin selector."
"Skin","Nitara - seasonal","nitara","seasonal","public/assets/skins/nitara/seasonal.webp","nitara_skin_seasonal.webp","No","Optional skin image for future skin selector."
"Skin","Nitara - premium","nitara","premium","public/assets/skins/nitara/premium.webp","nitara_skin_premium.webp","No","Optional skin image for future skin selector."
"Fighter","Shang Tsung","shang-tsung","Portrait","public/assets/fighters/shang-tsung/portrait.webp","shang-tsung_portrait.webp","Yes","Square portrait, recommended 768x768 or 1024x1024 WebP."
"Fighter","Shang Tsung","shang-tsung","FullBody","public/assets/fighters/shang-tsung/fullbody.webp","shang-tsung_fullbody.webp","Yes","Transparent/cut-out full-body render, recommended 1200x1600 WebP."
"Fighter","Shang Tsung","shang-tsung","Background","public/assets/fighters/shang-tsung/background.webp","shang-tsung_background.webp","Yes","Cinematic card background, recommended 1600x900 WebP."
"Fighter","Shang Tsung","shang-tsung","Model3D","public/assets/fighters/shang-tsung/model.glb","shang-tsung_model.glb","No","Optional GLB model for selected fighter detail screen."
"Skin","Shang Tsung - default","shang-tsung","default","public/assets/skins/shang-tsung/default.webp","shang-tsung_skin_default.webp","No","Optional skin image for future skin selector."
"Skin","Shang Tsung - klassic","shang-tsung","klassic","public/assets/skins/shang-tsung/klassic.webp","shang-tsung_skin_klassic.webp","No","Optional skin image for future skin selector."
