"EntityType","EntityName","Slug","AssetType","RequiredForV1","Status","SizeBytes","RelativePath","IncomingFileName","Notes"
"Fighter","Raiden","raiden","Portrait","Yes","Missing","0","public/assets/fighters/raiden/portrait.webp","raiden_portrait.webp","Square portrait, recommended 768x768 or 1024x1024 WebP."
"Fighter","Raiden","raiden","FullBody","Yes","Missing","0","public/assets/fighters/raiden/fullbody.webp","raiden_fullbody.webp","Transparent/cut-out full-body render, recommended 1200x1600 WebP."
"Fighter","Raiden","raiden","Background","Yes","Missing","0","public/assets/fighters/raiden/background.webp","raiden_background.webp","Cinematic card background, recommended 1600x900 WebP."
"Fighter","Raiden","raiden","Model3D","No","Missing","0","public/assets/fighters/raiden/model.glb","raiden_model.glb","Optional GLB model for selected fighter detail screen."
"Skin","Raiden - default","raiden","default","No","Missing","0","public/assets/skins/raiden/default.webp","raiden_skin_default.webp","Optional skin image for future skin selector."
"Skin","Raiden - klassic","raiden","klassic","No","Missing","0","public/assets/skins/raiden/klassic.webp","raiden_skin_klassic.webp","Optional skin image for future skin selector."
"Skin","Raiden - seasonal","raiden","seasonal","No","Missing","0","public/assets/skins/raiden/seasonal.webp","raiden_skin_seasonal.webp","Optional skin image for future skin selector."
"Skin","Raiden - premium","raiden","premium","No","Missing","0","public/assets/skins/raiden/premium.webp","raiden_skin_premium.webp","Optional skin image for future skin selector."
"Fighter","Kung Lao","kung-lao","Portrait","Yes","Missing","0","public/assets/fighters/kung-lao/portrait.webp","kung-lao_portrait.webp","Square portrait, recommended 768x768 or 1024x1024 WebP."
"Fighter","Kung Lao","kung-lao","FullBody","Yes","Missing","0","public/assets/fighters/kung-lao/fullbody.webp","kung-lao_fullbody.webp","Transparent/cut-out full-body render, recommended 1200x1600 WebP."
"Fighter","Kung Lao","kung-lao","Background","Yes","Missing","0","public/assets/fighters/kung-lao/background.webp","kung-lao_background.webp","Cinematic card background, recommended 1600x900 WebP."
"Fighter","Kung Lao","kung-lao","Model3D","No","Missing","0","public/assets/fighters/kung-lao/model.glb","kung-lao_model.glb","Optional GLB model for selected fighter detail screen."
"Skin","Kung Lao - default","kung-lao","default","No","Missing","0","public/assets/skins/kung-lao/default.webp","kung-lao_skin_default.webp","Optional skin image for future skin selector."
"Skin","Kung Lao - klassic","kung-lao","klassic","No","Missing","0","public/assets/skins/kung-lao/klassic.webp","kung-lao_skin_klassic.webp","Optional skin image for future skin selector."
"Skin","Kung Lao - seasonal","kung-lao","seasonal","No","Missing","0","public/assets/skins/kung-lao/seasonal.webp","kung-lao_skin_seasonal.webp","Optional skin image for future skin selector."
"Skin","Kung Lao - premium","kung-lao","premium","No","Missing","0","public/assets/skins/kung-lao/premium.webp","kung-lao_skin_premium.webp","Optional skin image for future skin selector."
"Fighter","Kitana","kitana","Portrait","Yes","Missing","0","public/assets/fighters/kitana/portrait.webp","kitana_portrait.webp","Square portrait, recommended 768x768 or 1024x1024 WebP."
"Fighter","Kitana","kitana","FullBody","Yes","Missing","0","public/assets/fighters/kitana/fullbody.webp","kitana_fullbody.webp","Transparent/cut-out full-body render, recommended 1200x1600 WebP."
"Fighter","Kitana","kitana","Background","Yes","Missing","0","public/assets/fighters/kitana/background.webp","kitana_background.webp","Cinematic card background, recommended 1600x900 WebP."
"Fighter","Kitana","kitana","Model3D","No","Missing","0","public/assets/fighters/kitana/model.glb","kitana_model.glb","Optional GLB model for selected fighter detail screen."
"Skin","Kitana - default","kitana","default","No","Missing","0","public/assets/skins/kitana/default.webp","kitana_skin_default.webp","Optional skin image for future skin selector."
"Skin","Kitana - klassic","kitana","klassic","No","Missing","0","public/assets/skins/kitana/klassic.webp","kitana_skin_klassic.webp","Optional skin image for future skin selector."
"Skin","Kitana - seasonal","kitana","seasonal","No","Missing","0","public/assets/skins/kitana/seasonal.webp","kitana_skin_seasonal.webp","Optional skin image for future skin selector."
"Skin","Kitana - premium","kitana","premium","No","Missing","0","public/assets/skins/kitana/premium.webp","kitana_skin_premium.webp","Optional skin image for future skin selector."
"Fighter","Mileena","mileena","Portrait","Yes","Missing","0","public/assets/fighters/mileena/portrait.webp","mileena_portrait.webp","Square portrait, recommended 768x768 or 1024x1024 WebP."
"Fighter","Mileena","mileena","FullBody","Yes","Missing","0","public/assets/fighters/mileena/fullbody.webp","mileena_fullbody.webp","Transparent/cut-out full-body render, recommended 1200x1600 WebP."
"Fighter","Mileena","mileena","Background","Yes","Missing","0","public/assets/fighters/mileena/background.webp","mileena_background.webp","Cinematic card background, recommended 1600x900 WebP."
"Fighter","Mileena","mileena","Model3D","No","Missing","0","public/assets/fighters/mileena/model.glb","mileena_model.glb","Optional GLB model for selected fighter detail screen."
"Skin","Mileena - default","mileena","default","No","Missing","0","public/assets/skins/mileena/default.webp","mileena_skin_default.webp","Optional skin image for future skin selector."
"Skin","Mileena - klassic","mileena","klassic","No","Missing","0","public/assets/skins/mileena/klassic.webp","mileena_skin_klassic.webp","Optional skin image for future skin selector."
"Skin","Mileena - seasonal","mileena","seasonal","No","Missing","0","public/assets/skins/mileena/seasonal.webp","mileena_skin_seasonal.webp","Optional skin image for future skin selector."
"Skin","Mileena - premium","mileena","premium","No","Missing","0","public/assets/skins/mileena/premium.webp","mileena_skin_premium.webp","Optional skin image for future skin selector."
"Fighter","Johnny Cage","johnny-cage","Portrait","Yes","Missing","0","public/assets/fighters/johnny-cage/portrait.webp","johnny-cage_portrait.webp","Square portrait, recommended 768x768 or 1024x1024 WebP."
"Fighter","Johnny Cage","johnny-cage","FullBody","Yes","Missing","0","public/assets/fighters/johnny-cage/fullbody.webp","johnny-cage_fullbody.webp","Transparent/cut-out full-body render, recommended 1200x1600 WebP."
"Fighter","Johnny Cage","johnny-cage","Background","Yes","Missing","0","public/assets/fighters/johnny-cage/background.webp","johnny-cage_background.webp","Cinematic card background, recommended 1600x900 WebP."
"Fighter","Johnny Cage","johnny-cage","Model3D","No","Missing","0","public/assets/fighters/johnny-cage/model.glb","johnny-cage_model.glb","Optional GLB model for selected fighter detail screen."
"Skin","Johnny Cage - default","johnny-cage","default","No","Missing","0","public/assets/skins/johnny-cage/default.webp","johnny-cage_skin_default.webp","Optional skin image for future skin selector."
"Skin","Johnny Cage - klassic","johnny-cage","klassic","No","Missing","0","public/assets/skins/johnny-cage/klassic.webp","johnny-cage_skin_klassic.webp","Optional skin image for future skin selector."
"Skin","Johnny Cage - seasonal","johnny-cage","seasonal","No","Missing","0","public/assets/skins/johnny-cage/seasonal.webp","johnny-cage_skin_seasonal.webp","Optional skin image for future skin selector."
"Skin","Johnny Cage - premium","johnny-cage","premium","No","Missing","0","public/assets/skins/johnny-cage/premium.webp","johnny-cage_skin_premium.webp","Optional skin image for future skin selector."
"Fighter","Kenshi Takahashi","kenshi-takahashi","Portrait","Yes","Missing","0","public/assets/fighters/kenshi-takahashi/portrait.webp","kenshi-takahashi_portrait.webp","Square portrait, recommended 768x768 or 1024x1024 WebP."
"Fighter","Kenshi Takahashi","kenshi-takahashi","FullBody","Yes","Missing","0","public/assets/fighters/kenshi-takahashi/fullbody.webp","kenshi-takahashi_fullbody.webp","Transparent/cut-out full-body render, recommended 1200x1600 WebP."
"Fighter","Kenshi Takahashi","kenshi-takahashi","Background","Yes","Missing","0","public/assets/fighters/kenshi-takahashi/background.webp","kenshi-takahashi_background.webp","Cinematic card background, recommended 1600x900 WebP."
"Fighter","Kenshi Takahashi","kenshi-takahashi","Model3D","No","Missing","0","public/assets/fighters/kenshi-takahashi/model.glb","kenshi-takahashi_model.glb","Optional GLB model for selected fighter detail screen."
"Skin","Kenshi Takahashi - default","kenshi-takahashi","default","No","Missing","0","public/assets/skins/kenshi-takahashi/default.webp","kenshi-takahashi_skin_default.webp","Optional skin image for future skin selector."
"Skin","Kenshi Takahashi - klassic","kenshi-takahashi","klassic","No","Missing","0","public/assets/skins/kenshi-takahashi/klassic.webp","kenshi-takahashi_skin_klassic.webp","Optional skin image for future skin selector."
"Skin","Kenshi Takahashi - seasonal","kenshi-takahashi","seasonal","No","Missing","0","public/assets/skins/kenshi-takahashi/seasonal.webp","kenshi-takahashi_skin_seasonal.webp","Optional skin image for future skin selector."
"Skin","Kenshi Takahashi - premium","kenshi-takahashi","premium","No","Missing","0","public/assets/skins/kenshi-takahashi/premium.webp","kenshi-takahashi_skin_premium.webp","Optional skin image for future skin selector."
"Fighter","Smoke","smoke","Portrait","Yes","Missing","0","public/assets/fighters/smoke/portrait.webp","smoke_portrait.webp","Square portrait, recommended 768x768 or 1024x1024 WebP."
"Fighter","Smoke","smoke","FullBody","Yes","Missing","0","public/assets/fighters/smoke/fullbody.webp","smoke_fullbody.webp","Transparent/cut-out full-body render, recommended 1200x1600 WebP."
"Fighter","Smoke","smoke","Background","Yes","Missing","0","public/assets/fighters/smoke/background.webp","smoke_background.webp","Cinematic card background, recommended 1600x900 WebP."
"Fighter","Smoke","smoke","Model3D","No","Missing","0","public/assets/fighters/smoke/model.glb","smoke_model.glb","Optional GLB model for selected fighter detail screen."
"Skin","Smoke - default","smoke","default","No","Missing","0","public/assets/skins/smoke/default.webp","smoke_skin_default.webp","Optional skin image for future skin selector."
"Skin","Smoke - klassic","smoke","klassic","No","Missing","0","public/assets/skins/smoke/klassic.webp","smoke_skin_klassic.webp","Optional skin image for future skin selector."
"Skin","Smoke - seasonal","smoke","seasonal","No","Missing","0","public/assets/skins/smoke/seasonal.webp","smoke_skin_seasonal.webp","Optional skin image for future skin selector."
"Skin","Smoke - premium","smoke","premium","No","Missing","0","public/assets/skins/smoke/premium.webp","smoke_skin_premium.webp","Optional skin image for future skin selector."
"Fighter","Rain","rain","Portrait","Yes","Missing","0","public/assets/fighters/rain/portrait.webp","rain_portrait.webp","Square portrait, recommended 768x768 or 1024x1024 WebP."
"Fighter","Rain","rain","FullBody","Yes","Missing","0","public/assets/fighters/rain/fullbody.webp","rain_fullbody.webp","Transparent/cut-out full-body render, recommended 1200x1600 WebP."
"Fighter","Rain","rain","Background","Yes","Missing","0","public/assets/fighters/rain/background.webp","rain_background.webp","Cinematic card background, recommended 1600x900 WebP."
"Fighter","Rain","rain","Model3D","No","Missing","0","public/assets/fighters/rain/model.glb","rain_model.glb","Optional GLB model for selected fighter detail screen."
"Skin","Rain - default","rain","default","No","Missing","0","public/assets/skins/rain/default.webp","rain_skin_default.webp","Optional skin image for future skin selector."
"Skin","Rain - klassic","rain","klassic","No","Missing","0","public/assets/skins/rain/klassic.webp","rain_skin_klassic.webp","Optional skin image for future skin selector."
"Skin","Rain - seasonal","rain","seasonal","No","Missing","0","public/assets/skins/rain/seasonal.webp","rain_skin_seasonal.webp","Optional skin image for future skin selector."
"Skin","Rain - premium","rain","premium","No","Missing","0","public/assets/skins/rain/premium.webp","rain_skin_premium.webp","Optional skin image for future skin selector."
"Fighter","Li Mei","li-mei","Portrait","Yes","Missing","0","public/assets/fighters/li-mei/portrait.webp","li-mei_portrait.webp","Square portrait, recommended 768x768 or 1024x1024 WebP."
"Fighter","Li Mei","li-mei","FullBody","Yes","Missing","0","public/assets/fighters/li-mei/fullbody.webp","li-mei_fullbody.webp","Transparent/cut-out full-body render, recommended 1200x1600 WebP."
"Fighter","Li Mei","li-mei","Background","Yes","Missing","0","public/assets/fighters/li-mei/background.webp","li-mei_background.webp","Cinematic card background, recommended 1600x900 WebP."
"Fighter","Li Mei","li-mei","Model3D","No","Missing","0","public/assets/fighters/li-mei/model.glb","li-mei_model.glb","Optional GLB model for selected fighter detail screen."
"Skin","Li Mei - default","li-mei","default","No","Missing","0","public/assets/skins/li-mei/default.webp","li-mei_skin_default.webp","Optional skin image for future skin selector."
"Skin","Li Mei - klassic","li-mei","klassic","No","Missing","0","public/assets/skins/li-mei/klassic.webp","li-mei_skin_klassic.webp","Optional skin image for future skin selector."
"Skin","Li Mei - seasonal","li-mei","seasonal","No","Missing","0","public/assets/skins/li-mei/seasonal.webp","li-mei_skin_seasonal.webp","Optional skin image for future skin selector."
"Skin","Li Mei - premium","li-mei","premium","No","Missing","0","public/assets/skins/li-mei/premium.webp","li-mei_skin_premium.webp","Optional skin image for future skin selector."
"Fighter","Tanya","tanya","Portrait","Yes","Missing","0","public/assets/fighters/tanya/portrait.webp","tanya_portrait.webp","Square portrait, recommended 768x768 or 1024x1024 WebP."
"Fighter","Tanya","tanya","FullBody","Yes","Missing","0","public/assets/fighters/tanya/fullbody.webp","tanya_fullbody.webp","Transparent/cut-out full-body render, recommended 1200x1600 WebP."
"Fighter","Tanya","tanya","Background","Yes","Missing","0","public/assets/fighters/tanya/background.webp","tanya_background.webp","Cinematic card background, recommended 1600x900 WebP."
"Fighter","Tanya","tanya","Model3D","No","Missing","0","public/assets/fighters/tanya/model.glb","tanya_model.glb","Optional GLB model for selected fighter detail screen."
"Skin","Tanya - default","tanya","default","No","Missing","0","public/assets/skins/tanya/default.webp","tanya_skin_default.webp","Optional skin image for future skin selector."
"Skin","Tanya - klassic","tanya","klassic","No","Missing","0","public/assets/skins/tanya/klassic.webp","tanya_skin_klassic.webp","Optional skin image for future skin selector."
"Skin","Tanya - seasonal","tanya","seasonal","No","Missing","0","public/assets/skins/tanya/seasonal.webp","tanya_skin_seasonal.webp","Optional skin image for future skin selector."
"Skin","Tanya - premium","tanya","premium","No","Missing","0","public/assets/skins/tanya/premium.webp","tanya_skin_premium.webp","Optional skin image for future skin selector."
"Fighter","Baraka","baraka","Portrait","Yes","Missing","0","public/assets/fighters/baraka/portrait.webp","baraka_portrait.webp","Square portrait, recommended 768x768 or 1024x1024 WebP."
"Fighter","Baraka","baraka","FullBody","Yes","Missing","0","public/assets/fighters/baraka/fullbody.webp","baraka_fullbody.webp","Transparent/cut-out full-body render, recommended 1200x1600 WebP."
"Fighter","Baraka","baraka","Background","Yes","Missing","0","public/assets/fighters/baraka/background.webp","baraka_background.webp","Cinematic card background, recommended 1600x900 WebP."
"Fighter","Baraka","baraka","Model3D","No","Missing","0","public/assets/fighters/baraka/model.glb","baraka_model.glb","Optional GLB model for selected fighter detail screen."
"Skin","Baraka - default","baraka","default","No","Missing","0","public/assets/skins/baraka/default.webp","baraka_skin_default.webp","Optional skin image for future skin selector."
"Skin","Baraka - klassic","baraka","klassic","No","Missing","0","public/assets/skins/baraka/klassic.webp","baraka_skin_klassic.webp","Optional skin image for future skin selector."
"Skin","Baraka - seasonal","baraka","seasonal","No","Missing","0","public/assets/skins/baraka/seasonal.webp","baraka_skin_seasonal.webp","Optional skin image for future skin selector."
"Skin","Baraka - premium","baraka","premium","No","Missing","0","public/assets/skins/baraka/premium.webp","baraka_skin_premium.webp","Optional skin image for future skin selector."
"Fighter","Geras","geras","Portrait","Yes","Missing","0","public/assets/fighters/geras/portrait.webp","geras_portrait.webp","Square portrait, recommended 768x768 or 1024x1024 WebP."
"Fighter","Geras","geras","FullBody","Yes","Missing","0","public/assets/fighters/geras/fullbody.webp","geras_fullbody.webp","Transparent/cut-out full-body render, recommended 1200x1600 WebP."
"Fighter","Geras","geras","Background","Yes","Missing","0","public/assets/fighters/geras/background.webp","geras_background.webp","Cinematic card background, recommended 1600x900 WebP."
"Fighter","Geras","geras","Model3D","No","Missing","0","public/assets/fighters/geras/model.glb","geras_model.glb","Optional GLB model for selected fighter detail screen."
"Skin","Geras - default","geras","default","No","Missing","0","public/assets/skins/geras/default.webp","geras_skin_default.webp","Optional skin image for future skin selector."
"Skin","Geras - klassic","geras","klassic","No","Missing","0","public/assets/skins/geras/klassic.webp","geras_skin_klassic.webp","Optional skin image for future skin selector."
"Skin","Geras - seasonal","geras","seasonal","No","Missing","0","public/assets/skins/geras/seasonal.webp","geras_skin_seasonal.webp","Optional skin image for future skin selector."
"Skin","Geras - premium","geras","premium","No","Missing","0","public/assets/skins/geras/premium.webp","geras_skin_premium.webp","Optional skin image for future skin selector."
"Fighter","Reptile","reptile","Portrait","Yes","Missing","0","public/assets/fighters/reptile/portrait.webp","reptile_portrait.webp","Square portrait, recommended 768x768 or 1024x1024 WebP."
"Fighter","Reptile","reptile","FullBody","Yes","Missing","0","public/assets/fighters/reptile/fullbody.webp","reptile_fullbody.webp","Transparent/cut-out full-body render, recommended 1200x1600 WebP."
"Fighter","Reptile","reptile","Background","Yes","Missing","0","public/assets/fighters/reptile/background.webp","reptile_background.webp","Cinematic card background, recommended 1600x900 WebP."
"Fighter","Reptile","reptile","Model3D","No","Missing","0","public/assets/fighters/reptile/model.glb","reptile_model.glb","Optional GLB model for selected fighter detail screen."
"Skin","Reptile - default","reptile","default","No","Missing","0","public/assets/skins/reptile/default.webp","reptile_skin_default.webp","Optional skin image for future skin selector."
"Skin","Reptile - klassic","reptile","klassic","No","Missing","0","public/assets/skins/reptile/klassic.webp","reptile_skin_klassic.webp","Optional skin image for future skin selector."
"Skin","Reptile - seasonal","reptile","seasonal","No","Missing","0","public/assets/skins/reptile/seasonal.webp","reptile_skin_seasonal.webp","Optional skin image for future skin selector."
"Skin","Reptile - premium","reptile","premium","No","Missing","0","public/assets/skins/reptile/premium.webp","reptile_skin_premium.webp","Optional skin image for future skin selector."
"Fighter","Ashrah","ashrah","Portrait","Yes","Missing","0","public/assets/fighters/ashrah/portrait.webp","ashrah_portrait.webp","Square portrait, recommended 768x768 or 1024x1024 WebP."
"Fighter","Ashrah","ashrah","FullBody","Yes","Missing","0","public/assets/fighters/ashrah/fullbody.webp","ashrah_fullbody.webp","Transparent/cut-out full-body render, recommended 1200x1600 WebP."
"Fighter","Ashrah","ashrah","Background","Yes","Missing","0","public/assets/fighters/ashrah/background.webp","ashrah_background.webp","Cinematic card background, recommended 1600x900 WebP."
"Fighter","Ashrah","ashrah","Model3D","No","Missing","0","public/assets/fighters/ashrah/model.glb","ashrah_model.glb","Optional GLB model for selected fighter detail screen."
"Skin","Ashrah - default","ashrah","default","No","Missing","0","public/assets/skins/ashrah/default.webp","ashrah_skin_default.webp","Optional skin image for future skin selector."
"Skin","Ashrah - klassic","ashrah","klassic","No","Missing","0","public/assets/skins/ashrah/klassic.webp","ashrah_skin_klassic.webp","Optional skin image for future skin selector."
"Skin","Ashrah - seasonal","ashrah","seasonal","No","Missing","0","public/assets/skins/ashrah/seasonal.webp","ashrah_skin_seasonal.webp","Optional skin image for future skin selector."
"Skin","Ashrah - premium","ashrah","premium","No","Missing","0","public/assets/skins/ashrah/premium.webp","ashrah_skin_premium.webp","Optional skin image for future skin selector."
"Fighter","Havik","havik","Portrait","Yes","Missing","0","public/assets/fighters/havik/portrait.webp","havik_portrait.webp","Square portrait, recommended 768x768 or 1024x1024 WebP."
"Fighter","Havik","havik","FullBody","Yes","Missing","0","public/assets/fighters/havik/fullbody.webp","havik_fullbody.webp","Transparent/cut-out full-body render, recommended 1200x1600 WebP."
"Fighter","Havik","havik","Background","Yes","Missing","0","public/assets/fighters/havik/background.webp","havik_background.webp","Cinematic card background, recommended 1600x900 WebP."
"Fighter","Havik","havik","Model3D","No","Missing","0","public/assets/fighters/havik/model.glb","havik_model.glb","Optional GLB model for selected fighter detail screen."
"Skin","Havik - default","havik","default","No","Missing","0","public/assets/skins/havik/default.webp","havik_skin_default.webp","Optional skin image for future skin selector."
"Skin","Havik - klassic","havik","klassic","No","Missing","0","public/assets/skins/havik/klassic.webp","havik_skin_klassic.webp","Optional skin image for future skin selector."
"Skin","Havik - seasonal","havik","seasonal","No","Missing","0","public/assets/skins/havik/seasonal.webp","havik_skin_seasonal.webp","Optional skin image for future skin selector."
"Skin","Havik - premium","havik","premium","No","Missing","0","public/assets/skins/havik/premium.webp","havik_skin_premium.webp","Optional skin image for future skin selector."
"Fighter","General Shao","general-shao","Portrait","Yes","Missing","0","public/assets/fighters/general-shao/portrait.webp","general-shao_portrait.webp","Square portrait, recommended 768x768 or 1024x1024 WebP."
"Fighter","General Shao","general-shao","FullBody","Yes","Missing","0","public/assets/fighters/general-shao/fullbody.webp","general-shao_fullbody.webp","Transparent/cut-out full-body render, recommended 1200x1600 WebP."
"Fighter","General Shao","general-shao","Background","Yes","Missing","0","public/assets/fighters/general-shao/background.webp","general-shao_background.webp","Cinematic card background, recommended 1600x900 WebP."
"Fighter","General Shao","general-shao","Model3D","No","Missing","0","public/assets/fighters/general-shao/model.glb","general-shao_model.glb","Optional GLB model for selected fighter detail screen."
"Skin","General Shao - default","general-shao","default","No","Missing","0","public/assets/skins/general-shao/default.webp","general-shao_skin_default.webp","Optional skin image for future skin selector."
"Skin","General Shao - klassic","general-shao","klassic","No","Missing","0","public/assets/skins/general-shao/klassic.webp","general-shao_skin_klassic.webp","Optional skin image for future skin selector."
"Skin","General Shao - seasonal","general-shao","seasonal","No","Missing","0","public/assets/skins/general-shao/seasonal.webp","general-shao_skin_seasonal.webp","Optional skin image for future skin selector."
"Skin","General Shao - premium","general-shao","premium","No","Missing","0","public/assets/skins/general-shao/premium.webp","general-shao_skin_premium.webp","Optional skin image for future skin selector."
"Fighter","Sindel","sindel","Portrait","Yes","Missing","0","public/assets/fighters/sindel/portrait.webp","sindel_portrait.webp","Square portrait, recommended 768x768 or 1024x1024 WebP."
"Fighter","Sindel","sindel","FullBody","Yes","Missing","0","public/assets/fighters/sindel/fullbody.webp","sindel_fullbody.webp","Transparent/cut-out full-body render, recommended 1200x1600 WebP."
"Fighter","Sindel","sindel","Background","Yes","Missing","0","public/assets/fighters/sindel/background.webp","sindel_background.webp","Cinematic card background, recommended 1600x900 WebP."
"Fighter","Sindel","sindel","Model3D","No","Missing","0","public/assets/fighters/sindel/model.glb","sindel_model.glb","Optional GLB model for selected fighter detail screen."
"Skin","Sindel - default","sindel","default","No","Missing","0","public/assets/skins/sindel/default.webp","sindel_skin_default.webp","Optional skin image for future skin selector."
"Skin","Sindel - klassic","sindel","klassic","No","Missing","0","public/assets/skins/sindel/klassic.webp","sindel_skin_klassic.webp","Optional skin image for future skin selector."
"Skin","Sindel - seasonal","sindel","seasonal","No","Missing","0","public/assets/skins/sindel/seasonal.webp","sindel_skin_seasonal.webp","Optional skin image for future skin selector."
"Skin","Sindel - premium","sindel","premium","No","Missing","0","public/assets/skins/sindel/premium.webp","sindel_skin_premium.webp","Optional skin image for future skin selector."
"Fighter","Reiko","reiko","Portrait","Yes","Missing","0","public/assets/fighters/reiko/portrait.webp","reiko_portrait.webp","Square portrait, recommended 768x768 or 1024x1024 WebP."
"Fighter","Reiko","reiko","FullBody","Yes","Missing","0","public/assets/fighters/reiko/fullbody.webp","reiko_fullbody.webp","Transparent/cut-out full-body render, recommended 1200x1600 WebP."
"Fighter","Reiko","reiko","Background","Yes","Missing","0","public/assets/fighters/reiko/background.webp","reiko_background.webp","Cinematic card background, recommended 1600x900 WebP."
"Fighter","Reiko","reiko","Model3D","No","Missing","0","public/assets/fighters/reiko/model.glb","reiko_model.glb","Optional GLB model for selected fighter detail screen."
"Skin","Reiko - default","reiko","default","No","Missing","0","public/assets/skins/reiko/default.webp","reiko_skin_default.webp","Optional skin image for future skin selector."
"Skin","Reiko - klassic","reiko","klassic","No","Missing","0","public/assets/skins/reiko/klassic.webp","reiko_skin_klassic.webp","Optional skin image for future skin selector."
"Skin","Reiko - seasonal","reiko","seasonal","No","Missing","0","public/assets/skins/reiko/seasonal.webp","reiko_skin_seasonal.webp","Optional skin image for future skin selector."
"Skin","Reiko - premium","reiko","premium","No","Missing","0","public/assets/skins/reiko/premium.webp","reiko_skin_premium.webp","Optional skin image for future skin selector."
"Fighter","Nitara","nitara","Portrait","Yes","Missing","0","public/assets/fighters/nitara/portrait.webp","nitara_portrait.webp","Square portrait, recommended 768x768 or 1024x1024 WebP."
