TransactionKey,TransactionId,TransactionTs,DateKey,TimeOfDay,CustomerKey,AccountKey,CardKey,MerchantKey,ChannelKey,CurrencyKey,TransactionType,Amount,CurrencyCode,AmountUsd,Status,FraudScore,IsFraud,MerchantCountry,MerchantLatitude,MerchantLongitude,IsInternational
11,TXN00000011,2025-03-06T00:25:03Z,20250306,00:25:03,156,299,148,20,2,6,Withdrawal,100,AED,27.0,Approved,0.218,0,Japan,35.6655,139.73,0
12,TXN00000012,2025-06-25T10:48:22Z,20250625,10:48:22,113,217,103,20,4,3,Transfer,633.13,GBP,804.08,Approved,0.204,0,Japan,35.6655,139.73,0
13,TXN00000013,2025-03-16T11:31:02Z,20250316,11:31:02,120,230,111,16,6,4,Wire,11625.5,INR,139.51,Approved,0.339,0,India,12.9716,77.5946,0
14,TXN00000014,2025-06-05T12:33:13Z,20250605,12:33:13,24,56,30,20,6,4,Wire,11806.18,INR,141.67,Approved,0.402,0,Japan,35.6655,139.73,0
15,TXN00000015,2026-06-18T16:34:16Z,20260618,16:34:16,198,386,198,16,6,1,Wire,6796.18,USD,6796.18,Approved,0.529,0,India,12.9716,77.5946,0
16,TXN00000016,2025-02-09T09:37:30Z,20250209,09:37:30,205,400,208,17,3,2,Purchase,347.19,EUR,378.44,Approved,0.17,0,India,19.076,72.8777,0
17,TXN00000017,2026-06-19T12:56:46Z,20260619,12:56:46,84,165,77,6,7,7,Direct Debit,643.73,SGD,476.36,Approved,0.198,0,USA,37.7749,-122.4194,0
18,TXN00000018,2026-03-11T10:11:23Z,20260311,10:11:23,217,423,219,12,1,4,Purchase,586.09,INR,7.03,Approved,0.249,0,France,48.8566,2.3522,1
19,TXN00000019,2025-09-12T11:11:41Z,20250912,11:11:41,24,55,29,20,1,6,Purchase,407.89,AED,110.13,Approved,0.229,0,Japan,35.6655,139.73,0
20,TXN00000020,2026-01-05T10:38:50Z,20260105,10:38:50,169,329,170,5,8,1,Purchase,125.59,USD,125.59,Approved,0.133,0,USA,37.3318,-122.0312,1
21,TXN00000021,2026-02-18T16:14:58Z,20260218,16:14:58,81,160,74,13,3,1,Purchase,758.86,USD,758.86,Approved,0.447,0,Germany,50.0379,8.5622,0
22,TXN00000022,2026-03-05T00:57:24Z,20260305,00:57:24,16,41,22,23,7,4,Direct Debit,394.46,INR,4.73,Approved,0.332,0,Costa Rica,9.9281,-84.0907,1
23,TXN00000023,2025-04-15T17:02:30Z,20250415,17:02:30,208,404,210,12,7,2,Direct Debit,278.4,EUR,303.46,Approved,0.044,0,France,48.8566,2.3522,0
24,TXN00000024,2025-05-24T19:05:50Z,20250524,19:05:50,75,150,69,18,6,4,Wire,34736.75,INR,416.84,Approved,0.443,0,Singapore,1.3644,103.9915,0
25,TXN00000025,2024-12-29T04:11:53Z,20241229,04:11:53,16,39,21,9,5,2,Transfer,2283.89,EUR,2489.44,Approved,0.296,0,UK,51.47,-0.4543,0
26,TXN00000026,2025-01-18T23:02:49Z,20250118,23:02:49,170,331,172,17,5,3,Transfer,349.63,GBP,444.03,Approved,0.056,0,India,19.076,72.8777,0
27,TXN00000027,2025-03-29T16:30:41Z,20250329,16:30:41,190,370,188,20,7,1,Direct Debit,190.83,USD,190.83,Approved,0.092,0,Japan,35.6655,139.73,0
28,TXN00000028,2025-04-06T15:45:13Z,20250406,15:45:13,70,141,67,19,8,2,Purchase,113.23,EUR,123.42,Declined,0.071,0,Singapore,1.2966,103.7764,1
29,TXN00000029,2025-02-18T13:53:15Z,20250218,13:53:15,5,12,7,12,8,6,Purchase,554.03,AED,149.59,Approved,0.091,0,France,48.8566,2.3522,0
30,TXN00000030,2026-06-19T17:17:21Z,20260619,17:17:21,3,7,4,19,3,3,Purchase,481.37,GBP,611.34,Approved,0.313,0,Singapore,1.2966,103.7764,1
31,TXN00000031,2026-06-19T18:48:03Z,20260619,18:48:03,137,260,125,2,1,4,Purchase,628.91,INR,7.55,Approved,0.155,0,USA,36.3729,-94.2088,0
32,TXN00000032,2025-08-01T18:05:38Z,20250801,18:05:38,198,386,198,16,4,1,Transfer,140.21,USD,140.21,Approved,0.33,0,India,12.9716,77.5946,0
33,TXN00000033,2026-03-20T09:42:30Z,20260320,09:42:30,10,26,14,13,8,7,Purchase,2094.59,SGD,1550.0,Approved,0.299,0,Germany,50.0379,8.5622,0
34,TXN00000034,2026-06-19T07:35:46Z,20260619,07:35:46,134,255,122,12,3,4,Purchase,11.66,INR,0.14,Approved,0.288,0,France,48.8566,2.3522,0
35,TXN00000035,2025-05-02T15:21:36Z,20250502,15:21:36,173,337,175,21,2,4,Withdrawal,100,INR,1.2,Approved,0.498,0,Malta,35.8989,14.5146,1
36,TXN00000036,2025-11-18T18:32:35Z,20251118,18:32:35,94,183,86,9,5,4,Transfer,2810.46,INR,33.73,Approved,0.248,0,UK,51.47,-0.4543,1
37,TXN00000037,2025-01-12T15:03:56Z,20250112,15:03:56,158,303,151,20,6,1,Wire,19826.28,USD,19826.28,Approved,0.352,0,Japan,35.6655,139.73,0
38,TXN00000038,2026-06-19T06:03:14Z,20260619,06:03:14,20,47,26,10,8,1,Purchase,166.72,USD,166.72,Approved,0.027,0,UK,51.5074,-0.1278,0
39,TXN00000039,2026-06-18T16:44:11Z,20260618,16:44:11,168,327,169,23,2,1,Withdrawal,40,USD,40.0,Approved,0.476,0,Costa Rica,9.9281,-84.0907,1
40,TXN00000040,2025-01-31T06:09:36Z,20250131,06:09:36,154,296,145,12,2,3,Withdrawal,100,GBP,127.0,Approved,0.151,0,France,48.8566,2.3522,0
41,TXN00000041,2025-11-15T19:50:14Z,20251115,19:50:14,197,384,197,9,6,2,Wire,10975.01,EUR,11962.76,Approved,0.466,0,UK,51.47,-0.4543,1
42,TXN00000042,2025-10-03T02:51:59Z,20251003,02:51:59,14,32,16,2,5,6,Transfer,321.65,AED,86.85,Approved,0.24,0,USA,36.3729,-94.2088,0
43,TXN00000043,2026-06-19T00:10:11Z,20260619,00:10:11,23,51,28,14,7,6,Direct Debit,3848.69,AED,1039.15,Approved,0.297,0,UAE,25.2532,55.3657,0
44,TXN00000044,2026-06-18T18:23:46Z,20260618,18:23:46,188,367,187,1,8,3,Purchase,583.15,GBP,740.6,Approved,0.083,0,USA,47.6062,-122.3321,1
45,TXN00000045,2025-01-18T06:50:58Z,20250118,06:50:58,111,214,100,20,3,2,Purchase,375.22,EUR,408.99,Approved,0.281,0,Japan,35.6655,139.73,0
46,TXN00000046,2025-07-14T19:17:46Z,20250714,19:17:46,114,218,104,19,4,1,Transfer,82.3,USD,82.3,Declined,0.218,0,Singapore,1.2966,103.7764,0
47,TXN00000047,2025-10-26T06:52:32Z,20251026,06:52:32,113,217,103,20,2,3,Withdrawal,40,GBP,50.8,Approved,0.281,0,Japan,35.6655,139.73,0
48,TXN00000048,2026-06-19T21:12:34Z,20260619,21:12:34,46,92,46,5,7,6,Direct Debit,453.54,AED,122.46,Approved,0.253,0,USA,37.3318,-122.0312,0
49,TXN00000049,2026-04-13T14:02:56Z,20260413,14:02:56,165,319,162,5,4,3,Transfer,27.06,GBP,34.37,Declined,0.102,0,USA,37.3318,-122.0312,1
50,TXN00000050,2026-06-19T07:41:27Z,20260619,07:41:27,14,33,17,8,8,1,Purchase,4065.63,USD,4065.63,Approved,0.095,0,USA,38.9847,-77.0947,0
51,TXN00000051,2026-05-16T05:52:46Z,20260516,05:52:46,114,218,104,22,4,1,Transfer,341.94,USD,341.94,Approved,0.587,0,Nigeria,6.5244,3.3792,1
52,TXN00000052,2025-03-25T12:12:48Z,20250325,12:12:48,62,124,60,16,1,1,Purchase,426.38,USD,426.38,Approved,0.176,0,India,12.9716,77.5946,1
53,TXN00000053,2026-06-18T12:45:25Z,20260618,12:45:25,28,64,34,17,3,4,Purchase,534.2,INR,6.41,Approved,0.105,0,India,19.076,72.8777,0
54,TXN00000054,2026-04-29T19:44:38Z,20260429,19:44:38,208,404,210,12,2,2,Withdrawal,40,EUR,43.6,Approved,0.225,0,France,48.8566,2.3522,0
55,TXN00000055,2025-01-07T13:44:52Z,20250107,13:44:52,113,217,103,19,2,3,Withdrawal,300,GBP,381.0,Approved,0.126,0,Singapore,1.2966,103.7764,1
56,TXN00000056,2026-05-14T02:12:19Z,20260514,02:12:19,159,304,152,19,6,1,Wire,9762.35,USD,9762.35,Approved,0.299,0,Singapore,1.2966,103.7764,0
57,TXN00000057,2025-07-12T18:45:45Z,20250712,18:45:45,65,129,63,17,3,3,Purchase,506.37,GBP,643.09,Approved,0.087,0,India,19.076,72.8777,0
58,TXN00000058,2026-06-19T22:56:08Z,20260619,22:56:08,18,43,23,17,7,1,Direct Debit,451.26,USD,451.26,Approved,0.087,0,India,19.076,72.8777,0
59,TXN00000059,2025-08-02T11:10:46Z,20250802,11:10:46,64,128,62,19,1,4,Purchase,399.38,INR,4.79,Approved,0.079,0,Singapore,1.2966,103.7764,0
60,TXN00000060,2025-07-28T05:15:56Z,20250728,05:15:56,2,3,2,14,4,4,Transfer,2668.06,INR,32.02,Declined,0.39,0,UAE,25.2532,55.3657,0
61,TXN00000061,2025-06-22T22:23:12Z,20250622,22:23:12,198,386,198,16,5,1,Transfer,518.61,USD,518.61,Approved,0.302,0,India,12.9716,77.5946,0
62,TXN00000062,2026-02-01T13:05:09Z,20260201,13:05:09,38,81,41,5,1,3,Purchase,139.39,GBP,177.03,Approved,0.123,0,USA,37.3318,-122.0312,0
63,TXN00000063,2025-07-01T12:42:58Z,20250701,12:42:58,9,21,12,18,1,2,Purchase,887.07,EUR,966.91,Approved,0.281,0,Singapore,1.3644,103.9915,1
64,TXN00000064,2026-06-19T18:51:58Z,20260619,18:51:58,186,362,185,13,6,7,Wire,14958.7,SGD,11069.44,Approved,0.399,0,Germany,50.0379,8.5622,0
65,TXN00000065,2026-06-19T05:57:21Z,20260619,05:57:21,220,430,223,8,7,4,Direct Debit,475.59,INR,5.71,Approved,0.293,0,USA,38.9847,-77.0947,1
66,TXN00000066,2026-01-01T14:23:22Z,20260101,14:23:22,162,313,157,20,3,4,Purchase,299.7,INR,3.6,Approved,0.211,0,Japan,35.6655,139.73,0
67,TXN00000067,2026-06-19T11:32:29Z,20260619,11:32:29,28,63,33,16,1,6,Purchase,554.17,AED,149.63,Approved,0.173,0,India,12.9716,77.5946,0
68,TXN00000068,2025-11-01T05:47:27Z,20251101,05:47:27,160,308,155,12,3,2,Purchase,59.86,EUR,65.25,Approved,0.306,0,France,48.8566,2.3522,0
69,TXN00000069,2025-03-16T00:08:00Z,20250316,00:08:00,134,255,122,12,5,4,Transfer,479.57,INR,5.75,Approved,0.108,0,France,48.8566,2.3522,0
70,TXN00000070,2025-03-15T20:34:39Z,20250315,20:34:39,36,79,39,2,7,1,Direct Debit,644.36,USD,644.36,Approved,0.189,0,USA,36.3729,-94.2088,0
71,TXN00000071,2025-08-16T05:20:23Z,20250816,05:20:23,135,256,123,16,8,7,Purchase,364.78,SGD,269.94,Approved,0.087,0,India,12.9716,77.5946,0
72,TXN00000072,2026-03-07T10:04:09Z,20260307,10:04:09,102,197,92,18,4,4,Transfer,244.04,INR,2.93,Approved,0.327,0,Singapore,1.3644,103.9915,0
73,TXN00000073,2025-04-01T11:19:53Z,20250401,11:19:53,193,376,192,9,8,7,Purchase,3694.28,SGD,2733.77,Approved,0.179,0,UK,51.47,-0.4543,0
74,TXN00000074,2025-06-22T20:53:58Z,20250622,20:53:58,181,352,181,19,2,7,Withdrawal,300,SGD,222.0,Approved,0.119,0,Singapore,1.2966,103.7764,0
75,TXN00000075,2026-06-18T15:23:57Z,20260618,15:23:57,147,283,139,20,2,7,Withdrawal,500,SGD,370.0,Approved,0.301,0,Japan,35.6655,139.73,0
76,TXN00000076,2025-09-08T18:43:30Z,20250908,18:43:30,10,26,14,13,7,7,Direct Debit,1649.6,SGD,1220.7,Approved,0.165,0,Germany,50.0379,8.5622,0
77,TXN00000077,2026-06-19T21:05:36Z,20260619,21:05:36,29,67,36,8,4,6,Transfer,3144.27,AED,848.95,Approved,0.306,0,USA,38.9847,-77.0947,0
78,TXN00000078,2025-12-25T09:32:44Z,20251225,09:32:44,91,177,83,17,5,2,Transfer,183.04,EUR,199.51,Approved,0.09,0,India,19.076,72.8777,0
79,TXN00000079,2025-05-05T09:55:30Z,20250505,09:55:30,210,408,213,19,8,4,Purchase,295.98,INR,3.55,Approved,0.131,0,Singapore,1.2966,103.7764,0
80,TXN00000080,2026-04-28T12:36:47Z,20260428,12:36:47,52,104,49,3,2,6,Withdrawal,200,AED,54.0,Approved,0.313,0,USA,29.7604,-95.3698,1
81,TXN00000081,2026-03-25T13:17:25Z,20260325,13:17:25,42,86,43,8,2,6,Withdrawal,60,AED,16.2,Approved,0.304,0,USA,38.9847,-77.0947,0
82,TXN00000082,2025-11-02T18:55:32Z,20251102,18:55:32,118,226,107,17,8,7,Purchase,480.56,SGD,355.61,Approved,0.035,0,India,19.076,72.8777,0
83,TXN00000083,2026-06-19T19:04:57Z,20260619,19:04:57,213,413,214,12,7,4,Direct Debit,318.05,INR,3.82,Approved,0.188,0,France,48.8566,2.3522,0
84,TXN00000084,2025-06-27T18:07:45Z,20250627,18:07:45,85,166,78,15,5,2,Transfer,150.5,EUR,164.05,Approved,0.19,0,UAE,25.1972,55.2796,0
85,TXN00000085,2026-02-23T06:46:23Z,20260223,06:46:23,100,193,91,20,8,1,Purchase,600.99,USD,600.99,Approved,0.229,0,Japan,35.6655,139.73,1
86,TXN00000086,2025-01-16T22:13:29Z,20250116,22:13:29,203,396,204,13,3,6,Purchase,4174.97,AED,1127.24,Approved,0.378,0,Germany,50.0379,8.5622,0
87,TXN00000087,2026-01-10T03:37:37Z,20260110,03:37:37,153,294,144,5,6,3,Wire,23315.52,GBP,29610.71,Approved,0.318,0,USA,37.3318,-122.0312,1
88,TXN00000088,2026-05-30T03:21:38Z,20260530,03:21:38,114,218,104,11,3,1,Purchase,104.81,USD,104.81,Approved,0.325,0,Spain,40.4168,-3.7038,1
89,TXN00000089,2025-01-31T18:29:54Z,20250131,18:29:54,181,352,181,25,8,7,Purchase,637.53,SGD,471.77,Approved,0.378,0,China,22.5431,114.0579,1
90,TXN00000090,2025-07-10T02:33:20Z,20250710,02:33:20,96,186,87,5,8,4,Purchase,441.99,INR,5.3,Approved,0.066,0,USA,37.3318,-122.0312,1
91,TXN00000091,2025-12-29T08:06:09Z,20251229,08:06:09,127,243,115,16,2,7,Withdrawal,300,SGD,222.0,Approved,0.212,0,India,12.9716,77.5946,0
92,TXN00000092,2026-01-17T11:35:44Z,20260117,11:35:44,4,10,6,12,8,7,Purchase,634.39,SGD,469.45,Approved,0.117,0,France,48.8566,2.3522,0
93,TXN00000093,2025-05-17T03:54:29Z,20250517,03:54:29,12,29,15,15,7,1,Direct Debit,242.78,USD,242.78,Approved,0.166,0,UAE,25.1972,55.2796,0
94,TXN00000094,2025-07-07T09:51:39Z,20250707,09:51:39,220,431,224,24,4,1,Transfer,3748.98,USD,3748.98,Approved,0.687,0,Switzerland,46.2044,6.1432,1
95,TXN00000095,2026-02-11T06:43:37Z,20260211,06:43:37,204,399,207,13,7,6,Direct Debit,757.43,AED,204.51,Declined,0.193,0,Germany,50.0379,8.5622,0
96,TXN00000096,2025-09-30T23:22:44Z,20250930,23:22:44,14,33,17,5,2,1,Withdrawal,200,USD,200.0,Approved,0.102,0,USA,37.3318,-122.0312,0
97,TXN00000097,2026-03-04T03:29:42Z,20260304,03:29:42,54,109,52,8,7,6,Direct Debit,349.78,AED,94.44,Approved,0.319,0,USA,38.9847,-77.0947,0
98,TXN00000098,2025-04-10T02:14:44Z,20250410,02:14:44,192,373,190,1,4,6,Transfer,103.5,AED,27.95,Approved,0.166,0,USA,47.6062,-122.3321,0
99,TXN00000099,2026-03-14T01:10:28Z,20260314,01:10:28,168,326,168,6,7,1,Direct Debit,321.76,USD,321.76,Approved,0.269,0,USA,37.7749,-122.4194,1
100,TXN00000100,2026-06-19T15:48:50Z,20260619,15:48:50,139,263,127,17,6,2,Wire,52298.24,EUR,57005.08,Approved,0.263,0,India,19.076,72.8777,0
101,TXN00000101,2026-03-17T14:47:55Z,20260317,14:47:55,107,204,96,16,5,2,Transfer,98.4,EUR,107.26,Approved,0.209,0,India,12.9716,77.5946,0
102,TXN00000102,2026-05-08T10:05:25Z,20260508,10:05:25,76,153,70,12,7,6,Direct Debit,35.47,AED,9.58,Approved,0.106,0,France,48.8566,2.3522,0
103,TXN00000103,2026-06-19T21:53:13Z,20260619,21:53:13,197,384,197,20,2,2,Withdrawal,60,EUR,65.4,Approved,0.235,0,Japan,35.6655,139.73,1
104,TXN00000104,2025-01-02T11:17:13Z,20250102,11:17:13,203,397,205,13,5,2,Transfer,565.25,EUR,616.12,Approved,0.29,0,Germany,50.0379,8.5622,0
105,TXN00000105,2026-06-18T22:16:05Z,20260618,22:16:05,80,158,73,14,8,6,Purchase,1548.06,AED,417.98,Approved,0.34,0,UAE,25.2532,55.3657,1
106,TXN00000106,2026-06-19T19:53:57Z,20260619,19:53:57,210,408,213,18,2,4,Withdrawal,40,INR,0.48,Approved,0.324,0,Singapore,1.3644,103.9915,0
107,TXN00000107,2025-10-19T11:50:59Z,20251019,11:50:59,177,346,177,20,3,3,Purchase,341.94,GBP,434.26,Approved,0.415,0,Japan,35.6655,139.73,1
108,TXN00000108,2026-03-18T09:11:38Z,20260318,09:11:38,58,117,57,10,3,7,Purchase,84.97,SGD,62.88,Approved,0.085,0,UK,51.5074,-0.1278,0
109,TXN00000109,2026-03-23T17:20:51Z,20260323,17:20:51,15,38,20,2,8,3,Purchase,130.84,GBP,166.17,Approved,0.035,0,USA,36.3729,-94.2088,0
110,TXN00000110,2025-06-19T03:40:17Z,20250619,03:40:17,25,57,31,14,1,1,Purchase,3213.29,USD,3213.29,Approved,0.328,0,UAE,25.2532,55.3657,0
111,TXN00000111,2026-06-19T21:26:05Z,20260619,21:26:05,50,101,48,15,1,2,Purchase,616.92,EUR,672.44,Approved,0.149,0,UAE,25.1972,55.2796,0
112,TXN00000112,2025-02-27T09:39:51Z,20250227,09:39:51,64,128,62,25,2,4,Withdrawal,40,INR,0.48,Approved,0.404,0,China,22.5431,114.0579,1
113,TXN00000113,2026-02-05T01:54:39Z,20260205,01:54:39,194,378,194,17,2,3,Withdrawal,500,GBP,635.0,Approved,0.162,0,India,19.076,72.8777,1
114,TXN00000114,2026-06-20T04:11:06Z,20260620,04:11:06,49,99,47,14,7,4,Direct Debit,1041.38,INR,12.5,Approved,0.218,0,UAE,25.2532,55.3657,1
115,TXN00000115,2026-03-14T11:38:31Z,20260314,11:38:31,131,250,120,6,3,6,Purchase,459.26,AED,124.0,Approved,0.263,0,USA,37.7749,-122.4194,0
116,TXN00000116,2026-03-20T14:46:28Z,20260320,14:46:28,111,213,99,20,8,6,Purchase,447.83,AED,120.91,Approved,0.245,0,Japan,35.6655,139.73,0
117,TXN00000117,2025-07-21T02:12:59Z,20250721,02:12:59,52,104,49,22,8,6,Purchase,241.37,AED,65.17,Approved,0.231,0,Nigeria,6.5244,3.3792,1
118,TXN00000118,2025-08-14T15:07:56Z,20250814,15:07:56,121,234,113,20,2,1,Withdrawal,500,USD,500.0,Approved,0.226,0,Japan,35.6655,139.73,0
119,TXN00000119,2026-02-07T10:46:17Z,20260207,10:46:17,14,33,17,7,4,1,Transfer,83.3,USD,83.3,Approved,0.244,0,USA,37.2266,-121.9747,0
120,TXN00000120,2026-06-18T17:37:34Z,20260618,17:37:34,159,304,152,19,7,1,Direct Debit,641.94,USD,641.94,Approved,0.183,0,Singapore,1.2966,103.7764,0
121,TXN00000121,2026-03-15T14:12:44Z,20260315,14:12:44,66,133,65,8,8,2,Purchase,2706.05,EUR,2949.59,Approved,0.147,0,USA,38.9847,-77.0947,1
122,TXN00000122,2026-06-20T07:01:55Z,20260620,07:01:55,139,265,128,17,3,1,Purchase,102.67,USD,102.67,Approved,0.221,0,India,19.076,72.8777,0
123,TXN00000123,2026-06-18T22:08:19Z,20260618,22:08:19,197,384,197,7,8,2,Purchase,193.64,EUR,211.07,Approved,0.146,0,USA,37.2266,-121.9747,1
124,TXN00000124,2025-04-24T15:48:34Z,20250424,15:48:34,148,285,140,4,1,6,Purchase,251.82,AED,67.99,Approved,0.098,0,USA,47.581,-122.336,1
125,TXN00000125,2026-05-23T23:26:57Z,20260523,23:26:57,46,92,46,3,3,6,Purchase,205.85,AED,55.58,Approved,0.254,0,USA,29.7604,-95.3698,0
126,TXN00000126,2025-06-02T11:24:58Z,20250602,11:24:58,168,327,169,18,8,1,Purchase,3614.49,USD,3614.49,Approved,0.308,0,Singapore,1.3644,103.9915,1
127,TXN00000127,2025-08-29T01:20:26Z,20250829,01:20:26,162,314,158,20,5,2,Transfer,385.44,EUR,420.13,Approved,0.136,0,Japan,35.6655,139.73,0
128,TXN00000128,2025-03-21T22:04:00Z,20250321,22:04:00,5,12,7,12,7,6,Direct Debit,644.8,AED,174.1,Approved,0.133,0,France,48.8566,2.3522,0
129,TXN00000129,2026-06-19T18:54:56Z,20260619,18:54:56,167,324,166,3,2,7,Withdrawal,100,SGD,74.0,Approved,0.14,0,USA,29.7604,-95.3698,1
130,TXN00000130,2026-05-20T11:13:51Z,20260520,11:13:51,130,248,118,8,7,6,Direct Debit,2543.72,AED,686.8,Approved,0.315,0,USA,38.9847,-77.0947,0
131,TXN00000131,2025-03-30T19:06:22Z,20250330,19:06:22,20,47,26,9,2,1,Withdrawal,100,USD,100.0,Approved,0.253,0,UK,51.47,-0.4543,0
132,TXN00000132,2026-02-09T01:50:37Z,20260209,01:50:37,162,314,158,7,6,2,Wire,30571.68,EUR,33323.13,Approved,0.336,0,USA,37.2266,-121.9747,1
133,TXN00000133,2025-04-28T07:19:48Z,20250428,07:19:48,56,114,55,7,5,3,Transfer,523.77,GBP,665.19,Approved,0.191,0,USA,37.2266,-121.9747,0
134,TXN00000134,2025-03-26T09:41:48Z,20250326,09:41:48,20,46,25,10,5,6,Transfer,279.91,AED,75.58,Approved,0.112,0,UK,51.5074,-0.1278,0
135,TXN00000135,2025-05-22T12:50:15Z,20250522,12:50:15,204,398,206,13,7,1,Direct Debit,984.31,USD,984.31,Approved,0.215,0,Germany,50.0379,8.5622,0
136,TXN00000136,2025-04-19T04:41:44Z,20250419,04:41:44,49,99,47,19,3,4,Purchase,326.49,INR,3.92,Approved,0.313,0,Singapore,1.2966,103.7764,1
137,TXN00000137,2025-11-22T09:18:43Z,20251122,09:18:43,166,322,164,12,1,1,Purchase,302.77,USD,302.77,Approved,0.089,0,France,48.8566,2.3522,0
138,TXN00000138,2025-07-15T07:45:54Z,20250715,07:45:54,115,220,106,7,2,3,Withdrawal,100,GBP,127.0,Approved,0.229,0,USA,37.2266,-121.9747,0
139,TXN00000139,2026-06-18T16:13:11Z,20260618,16:13:11,63,126,61,14,4,3,Transfer,291.37,GBP,370.04,Approved,0.375,0,UAE,25.2532,55.3657,0
140,TXN00000140,2025-07-14T17:53:36Z,20250714,17:53:36,119,228,109,13,4,2,Transfer,297.15,EUR,323.89,Approved,0.354,0,Germany,50.0379,8.5622,0
141,TXN00000141,2025-02-03T01:29:34Z,20250203,01:29:34,217,423,219,1,8,4,Purchase,39.74,INR,0.48,Approved,0.247,0,USA,47.6062,-122.3321,1
142,TXN00000142,2026-06-20T07:22:13Z,20260620,07:22:13,114,219,105,18,2,6,Withdrawal,60,AED,16.2,Approved,0.169,0,Singapore,1.3644,103.9915,0
143,TXN00000143,2025-05-09T02:00:22Z,20250509,02:00:22,169,330,171,3,8,2,Purchase,157.8,EUR,172.0,Approved,0.099,0,USA,29.7604,-95.3698,1
144,TXN00000144,2025-03-21T15:22:12Z,20250321,15:22:12,191,372,189,7,4,7,Transfer,97.2,SGD,71.93,Approved,0.111,0,USA,37.2266,-121.9747,1
145,TXN00000145,2025-12-02T23:23:39Z,20251202,23:23:39,218,425,221,2,8,3,Purchase,208.45,GBP,264.73,Approved,0.113,0,USA,36.3729,-94.2088,0
146,TXN00000146,2026-02-25T22:39:12Z,20260225,22:39:12,103,198,93,1,6,6,Wire,39255.76,AED,10599.06,Approved,0.449,0,USA,47.6062,-122.3321,1
147,TXN00000147,2026-05-07T00:50:02Z,20260507,00:50:02,177,346,177,5,5,3,Transfer,416.76,GBP,529.29,Approved,0.226,0,USA,37.3318,-122.0312,0
148,TXN00000148,2025-04-29T00:32:32Z,20250429,00:32:32,220,429,222,13,8,3,Purchase,211.62,GBP,268.76,Approved,0.363,0,Germany,50.0379,8.5622,1
149,TXN00000149,2025-10-27T19:02:18Z,20251027,19:02:18,18,44,24,16,5,3,Transfer,595.67,GBP,756.5,Approved,0.247,0,India,12.9716,77.5946,0
150,TXN00000150,2025-08-06T22:13:40Z,20250806,22:13:40,202,394,203,25,5,7,Transfer,611.56,SGD,452.55,Approved,0.428,0,China,22.5431,114.0579,1
151,TXN00000151,2025-07-25T10:31:38Z,20250725,10:31:38,208,404,210,12,3,2,Purchase,231.3,EUR,252.12,Approved,0.216,0,France,48.8566,2.3522,0
152,TXN00000152,2025-07-01T10:35:19Z,20250701,10:35:19,178,347,178,18,1,1,Purchase,2713.23,USD,2713.23,Approved,0.325,0,Singapore,1.3644,103.9915,0
153,TXN00000153,2025-02-15T11:42:31Z,20250215,11:42:31,86,168,79,18,2,1,Withdrawal,300,USD,300.0,Approved,0.301,0,Singapore,1.3644,103.9915,0
154,TXN00000154,2026-03-09T10:53:30Z,20260309,10:53:30,215,418,217,3,6,3,Wire,16749.77,GBP,21272.21,Approved,0.401,0,USA,29.7604,-95.3698,0
