SnapshotKey,CustomerKey,DateKey,SnapshotDate,AccountsHeld,TotalBalanceUsd,MtdTransactions,MtdSpendUsd,CreditScore,RiskBand,ChurnScore
73,73,20260620,2026-06-20,2,-313658.32,2,8463.12,630,Medium,0.699
74,74,20260620,2026-06-20,2,-291480.97,0,0.0,677,Low,0.376
75,75,20260620,2026-06-20,2,-310413.84,2,240.48,712,Low,0.031
76,76,20260620,2026-06-20,3,-289485.92,1,3475.9,681,Low,0.462
77,77,20260620,2026-06-20,2,37608.42,3,7180.19,791,Low,0.405
78,78,20260620,2026-06-20,1,-284522.32,0,0.0,782,High,0.607
79,79,20260620,2026-06-20,1,-32892.29,0,0.0,668,Low,0.219
80,80,20260620,2026-06-20,1,3542.42,2,2242.41,638,High,0.189
81,81,20260620,2026-06-20,2,-308636.77,2,7490.09,639,Low,0.327
82,82,20260620,2026-06-20,1,39894.42,2,9532.49,823,Medium,0.295
83,83,20260620,2026-06-20,3,-377966.49,2,1174.22,765,Medium,0.347
84,84,20260620,2026-06-20,1,18947.23,2,8594.95,617,Low,0.148
85,85,20260620,2026-06-20,1,-1571.56,1,18959.97,807,Low,0.311
86,86,20260620,2026-06-20,2,-346467.8,2,4472.1,590,Low,0.837
87,87,20260620,2026-06-20,2,-110668.94,1,1989.84,578,High,0.144
88,88,20260620,2026-06-20,2,486753.95,2,8712.02,772,High,0.071
89,89,20260620,2026-06-20,2,-353392.25,0,0.0,818,Low,0.229
90,90,20260620,2026-06-20,1,-262529.03,0,0.0,764,High,0.113
91,91,20260620,2026-06-20,2,16851.08,4,16463.48,581,High,0.615
92,92,20260620,2026-06-20,2,-567616.26,0,0.0,677,Medium,0.572
93,93,20260620,2026-06-20,2,-115367.31,1,7331.27,791,Medium,0.827
94,94,20260620,2026-06-20,2,47558.07,6,4197.5,750,Medium,0.762
95,95,20260620,2026-06-20,2,-328595.15,0,0.0,669,Medium,0.303
96,96,20260620,2026-06-20,1,-1508.23,3,61.86,567,Medium,0.224
97,97,20260620,2026-06-20,1,-349979.94,0,0.0,607,Low,0.754
98,98,20260620,2026-06-20,2,-329034.02,2,18902.61,699,Low,0.526
99,99,20260620,2026-06-20,2,-139696.15,2,4409.12,618,Medium,0.422
100,100,20260620,2026-06-20,3,-220384.97,4,18518.45,773,Medium,0.51
101,101,20260620,2026-06-20,2,-145505.12,0,0.0,752,Low,0.342
102,102,20260620,2026-06-20,1,40740.37,3,130.07,616,Low,0.411
103,103,20260620,2026-06-20,1,-12600.13,2,2004.16,662,Low,0.574
104,104,20260620,2026-06-20,3,-225593.48,4,11335.12,617,Medium,0.429
105,105,20260620,2026-06-20,1,-284988.9,0,0.0,809,Medium,0.99
106,106,20260620,2026-06-20,1,-322834.49,0,0.0,713,Low,0.546
107,107,20260620,2026-06-20,3,-186496.19,5,10665.55,702,Medium,0.633
108,108,20260620,2026-06-20,2,-321356.19,0,0.0,656,High,0.844
109,109,20260620,2026-06-20,1,-2304.51,2,129.99,554,Low,0.05
110,110,20260620,2026-06-20,2,156276.49,0,0.0,829,Low,0.584
111,111,20260620,2026-06-20,3,-153059.37,3,11593.67,794,Medium,0.869
112,112,20260620,2026-06-20,1,-5915.47,2,3191.73,687,Medium,0.583
113,113,20260620,2026-06-20,2,24716.63,4,6575.2,668,Medium,0.392
114,114,20260620,2026-06-20,2,38454.7,5,5285.9,834,Low,0.32
115,115,20260620,2026-06-20,2,53296.05,1,3381.12,794,Low,0.78
116,116,20260620,2026-06-20,1,22974.72,0,0.0,610,High,0.528
117,117,20260620,2026-06-20,3,409978.13,0,0.0,607,High,0.101
118,118,20260620,2026-06-20,2,-1135.76,3,12637.17,811,Low,0.535
119,119,20260620,2026-06-20,1,27768.59,1,8387.27,598,Low,0.426
120,120,20260620,2026-06-20,4,-204580.77,5,14723.28,586,Medium,0.912
121,121,20260620,2026-06-20,2,-81128.84,2,2685.11,839,Low,0.42
122,122,20260620,2026-06-20,2,265070.79,0,0.0,653,High,0.536
123,123,20260620,2026-06-20,2,97332.28,0,0.0,695,Low,0.99
124,124,20260620,2026-06-20,1,293431.19,0,0.0,754,Medium,0.689
125,125,20260620,2026-06-20,1,7704.7,2,2793.47,556,Medium,0.823
126,126,20260620,2026-06-20,2,118781.6,0,0.0,818,Low,0.99
127,127,20260620,2026-06-20,1,-1317.71,2,10952.01,648,Low,0.762
128,128,20260620,2026-06-20,1,36795.89,2,6495.83,575,Medium,0.927
129,129,20260620,2026-06-20,3,-152615.42,1,192.27,681,Medium,0.738
130,130,20260620,2026-06-20,2,44153.23,3,11750.76,547,Medium,0.322
131,131,20260620,2026-06-20,2,43769.18,3,2998.5,809,Medium,0.093
132,132,20260620,2026-06-20,1,-94321.02,0,0.0,653,Medium,0.899
133,133,20260620,2026-06-20,2,263938.05,2,70.7,745,High,0.421
134,134,20260620,2026-06-20,1,34620.62,2,153.19,573,Medium,0.127
135,135,20260620,2026-06-20,2,28825.73,4,17974.91,772,High,0.583
136,136,20260620,2026-06-20,2,83766.28,0,0.0,760,Low,0.463
137,137,20260620,2026-06-20,1,20137.96,2,111.24,758,Low,0.361
138,138,20260620,2026-06-20,2,-34311.85,3,22093.69,761,Low,0.085
139,139,20260620,2026-06-20,3,192985.81,4,19569.92,602,Medium,0.426
140,140,20260620,2026-06-20,2,-2757.66,0,0.0,720,Low,0.084
141,141,20260620,2026-06-20,1,-157380.25,0,0.0,728,Low,0.105
142,142,20260620,2026-06-20,3,-247016.15,4,4438.65,553,Low,0.653
143,143,20260620,2026-06-20,1,-4434.89,1,13275.51,543,High,0.204
144,144,20260620,2026-06-20,4,237456.9,8,22856.58,811,Low,0.181
145,145,20260620,2026-06-20,2,44044.72,3,11747.81,566,Low,0.151
146,146,20260620,2026-06-20,2,57181.28,3,22569.6,766,Low,0.418
147,147,20260620,2026-06-20,4,239661.94,3,9959.01,809,Medium,0.781
148,148,20260620,2026-06-20,1,4197.58,1,2966.38,610,Low,0.732
149,149,20260620,2026-06-20,1,7417.02,2,7430.48,812,High,0.663
150,150,20260620,2026-06-20,2,-89551.48,2,9957.51,763,Low,0.018
151,151,20260620,2026-06-20,3,481334.32,2,1651.51,688,Low,0.11
152,152,20260620,2026-06-20,1,-157032.85,0,0.0,585,Medium,0.351
153,153,20260620,2026-06-20,3,76475.47,1,11676.91,653,Medium,0.395
154,154,20260620,2026-06-20,2,30665.65,3,9309.45,615,Low,0.19
155,155,20260620,2026-06-20,1,-4113.89,2,6811.63,630,Medium,0.99
156,156,20260620,2026-06-20,1,-1367.22,3,2471.81,701,Medium,0.172
157,157,20260620,2026-06-20,3,-253832.47,3,22198.57,799,Low,0.068
158,158,20260620,2026-06-20,1,2505.14,3,8239.3,799,High,0.433
159,159,20260620,2026-06-20,3,1813.01,4,16355.08,704,Low,0.496
160,160,20260620,2026-06-20,3,-317693.17,6,20680.45,798,High,0.726
161,161,20260620,2026-06-20,1,3008.73,1,73.11,726,Medium,0.378
162,162,20260620,2026-06-20,4,-507599.65,5,17752.42,573,Medium,0.374
163,163,20260620,2026-06-20,2,54653.45,2,2346.16,710,Low,0.095
164,164,20260620,2026-06-20,2,76552.71,3,11176.02,583,Low,0.336
165,165,20260620,2026-06-20,1,27714.13,2,12244.79,587,Low,0.723
166,166,20260620,2026-06-20,3,-73154.53,4,17134.85,638,Low,0.236
167,167,20260620,2026-06-20,2,-25499.34,4,2078.15,559,Low,0.781
168,168,20260620,2026-06-20,4,26774.6,6,16441.38,764,High,0.049
169,169,20260620,2026-06-20,2,34128.73,5,21488.94,659,Low,0.624
170,170,20260620,2026-06-20,1,7467.3,1,10899.79,735,Low,0.581
171,171,20260620,2026-06-20,2,-96942.96,1,2827.42,730,Low,0.515
172,172,20260620,2026-06-20,3,379639.39,1,10761.78,615,Medium,0.789
173,173,20260620,2026-06-20,3,-281446.73,2,298.87,797,Low,0.421
174,174,20260620,2026-06-20,1,35579.13,0,0.0,614,High,0.111
175,175,20260620,2026-06-20,2,-62454.48,0,0.0,580,Medium,0.018
176,176,20260620,2026-06-20,2,-55601.29,4,3439.55,661,Medium,0.29
177,177,20260620,2026-06-20,2,-268406.91,2,9302.2,814,Low,0.018
178,178,20260620,2026-06-20,3,-416115.95,2,10014.63,663,High,0.566
179,179,20260620,2026-06-20,1,40365.39,1,13509.77,799,Low,0.75
180,180,20260620,2026-06-20,1,-2833.3,2,5334.7,669,Low,0.672
181,181,20260620,2026-06-20,1,33576.7,2,4009.65,608,High,0.051
182,182,20260620,2026-06-20,2,-287155.7,2,28856.78,633,Low,0.884
183,183,20260620,2026-06-20,2,-89523.33,2,12693.67,698,Medium,0.575
184,184,20260620,2026-06-20,3,255989.01,0,0.0,564,Low,0.799
185,185,20260620,2026-06-20,2,-8330.14,1,12944.69,737,High,0.305
186,186,20260620,2026-06-20,2,-192836.63,2,14790.26,757,Medium,0.081
187,187,20260620,2026-06-20,3,-240914.01,1,4517.26,696,Low,0.51
188,188,20260620,2026-06-20,2,-50721.66,1,7625.94,762,Low,0.306
189,189,20260620,2026-06-20,1,-256864.93,0,0.0,555,Medium,0.118
190,190,20260620,2026-06-20,2,-66794.77,1,8318.8,725,Medium,0.342
191,191,20260620,2026-06-20,1,-5240.2,3,11150.35,579,Medium,0.57
192,192,20260620,2026-06-20,2,23566.93,5,16788.65,795,Low,0.513
193,193,20260620,2026-06-20,2,397767.33,2,11361.26,791,Medium,0.17
194,194,20260620,2026-06-20,2,22252.25,3,24828.89,717,Low,0.719
195,195,20260620,2026-06-20,1,-173863.58,0,0.0,725,Low,0.483
196,196,20260620,2026-06-20,3,431762.04,3,5881.37,779,Medium,0.756
197,197,20260620,2026-06-20,3,30580.83,3,23307.72,809,Low,0.426
198,198,20260620,2026-06-20,2,12969.2,4,25225.4,804,High,0.34
199,199,20260620,2026-06-20,1,-15133.72,2,10960.36,568,Low,0.707
200,200,20260620,2026-06-20,2,-317187.55,1,90.6,805,Low,0.935
201,201,20260620,2026-06-20,3,697.23,3,14132.29,813,Medium,0.097
202,202,20260620,2026-06-20,2,-80932.15,2,10330.95,828,Low,0.04
203,203,20260620,2026-06-20,2,37063.28,5,23437.22,832,Medium,0.373
204,204,20260620,2026-06-20,2,-2958.42,3,12125.88,665,Low,0.918
205,205,20260620,2026-06-20,1,23829.91,2,15057.15,787,Low,0.509
206,206,20260620,2026-06-20,1,-168986.7,0,0.0,606,Low,0.896
207,207,20260620,2026-06-20,2,135869.85,2,1476.94,612,Medium,0.101
208,208,20260620,2026-06-20,2,22843.43,3,10002.77,637,Medium,0.617
209,209,20260620,2026-06-20,1,-105581.79,0,0.0,798,Medium,0.527
210,210,20260620,2026-06-20,2,35271.55,5,16157.43,686,Medium,0.493
211,211,20260620,2026-06-20,1,32501.19,0,0.0,563,Low,0.347
212,212,20260620,2026-06-20,2,497815.6,0,0.0,821,Medium,0.282
213,213,20260620,2026-06-20,2,-253441.68,1,55.21,825,Low,0.99
214,214,20260620,2026-06-20,3,-228265.71,3,17945.75,610,Medium,0.616
215,215,20260620,2026-06-20,2,35515.4,3,17762.87,703,Medium,0.138
216,216,20260620,2026-06-20,2,91585.54,0,0.0,783,High,0.844
217,217,20260620,2026-06-20,4,7985.96,7,17970.27,782,Medium,0.243
218,218,20260620,2026-06-20,3,100065.76,2,22886.04,734,Low,0.14
219,219,20260620,2026-06-20,1,-47857.14,0,0.0,700,Medium,0.485
220,220,20260620,2026-06-20,4,-229666.51,5,37866.98,610,High,0.54
221,1,20260613,2026-06-13,2,-79152.51,2,12662.76,665,High,0.247
222,2,20260613,2026-06-13,2,-242935.64,2,282.26,555,Medium,0.092
223,3,20260613,2026-06-13,3,-280528.5,5,23968.77,754,Low,0.264
224,4,20260613,2026-06-13,3,22940.96,5,15715.34,619,Low,0.225
225,5,20260613,2026-06-13,2,-39347.71,3,869.02,562,Medium,0.695
226,6,20260613,2026-06-13,3,481112.25,6,28893.2,835,High,0.183
227,7,20260613,2026-06-13,2,-212730.33,0,0.0,734,Low,0.236
228,8,20260613,2026-06-13,3,18541.47,3,6355.53,627,Medium,0.495
229,9,20260613,2026-06-13,4,-128452.48,3,8420.76,652,Low,0.558
230,10,20260613,2026-06-13,3,62403.77,4,18032.6,648,Low,0.983
231,11,20260613,2026-06-13,1,36883.55,0,0.0,675,Medium,0.153
232,12,20260613,2026-06-13,2,33848.43,1,7517.24,652,Medium,0.99
233,13,20260613,2026-06-13,1,-182089.24,0,0.0,756,Medium,0.492
234,14,20260613,2026-06-13,4,257284.75,3,7003.56,814,Low,0.659
235,15,20260613,2026-06-13,3,8151.01,8,18851.23,796,High,0.898
236,16,20260613,2026-06-13,3,439894.72,5,12426.08,731,Low,0.66
237,17,20260613,2026-06-13,1,-81415.75,0,0.0,662,Low,0.067
238,18,20260613,2026-06-13,2,38279.51,5,23039.36,605,Low,0.64
239,19,20260613,2026-06-13,1,-160417.17,0,0.0,699,Low,0.345
240,20,20260613,2026-06-13,2,20314.32,4,17315.85,572,Low,0.4
241,21,20260613,2026-06-13,2,-226894.38,0,0.0,657,Low,0.064
242,22,20260613,2026-06-13,1,29425.3,1,3056.28,607,Medium,0.866
243,23,20260613,2026-06-13,4,-798553.03,2,4105.68,588,Medium,0.09
244,24,20260613,2026-06-13,2,24567.97,2,1178.29,571,Low,0.476
245,25,20260613,2026-06-13,2,364636.64,2,12284.21,682,Medium,0.47
246,26,20260613,2026-06-13,3,-297430.04,1,1493.58,547,Low,0.99
247,27,20260613,2026-06-13,1,-273343.1,0,0.0,734,Medium,0.002
248,28,20260613,2026-06-13,3,67293.48,8,23464.7,619,Medium,0.167
249,29,20260613,2026-06-13,3,-337193.18,1,1819.34,839,Low,0.505
250,30,20260613,2026-06-13,1,17785.26,0,0.0,574,Low,0.667
251,31,20260613,2026-06-13,2,205769.96,0,0.0,581,Medium,0.501
252,32,20260613,2026-06-13,1,4152.1,0,0.0,662,High,0.276
253,33,20260613,2026-06-13,2,-511852.38,0,0.0,774,Low,0.515
254,34,20260613,2026-06-13,1,-13804.39,0,0.0,665,Medium,0.399
255,35,20260613,2026-06-13,3,-255752.47,3,11667.45,544,High,0.62
256,36,20260613,2026-06-13,1,43150.85,3,12180.65,823,Low,0.139
257,37,20260613,2026-06-13,1,-2178.67,2,9826.62,790,Low,0.277
258,38,20260613,2026-06-13,2,-343647.49,1,4030.74,606,High,0.518
259,39,20260613,2026-06-13,1,28862.5,1,4974.17,578,Medium,0.963
260,40,20260613,2026-06-13,1,-178272.62,0,0.0,605,Low,0.035
261,41,20260613,2026-06-13,1,11871.12,0,0.0,748,Low,0.964
262,42,20260613,2026-06-13,1,-13597.98,3,5138.1,552,Medium,0.166
263,43,20260613,2026-06-13,2,-7894.16,4,3162.76,621,Low,0.723
264,44,20260613,2026-06-13,1,-297677.29,0,0.0,696,Low,0.772
265,45,20260613,2026-06-13,2,51157.3,2,230.29,682,High,0.325
266,46,20260613,2026-06-13,4,-99203.92,1,1766.4,631,Low,0.69
267,47,20260613,2026-06-13,1,-264801.78,0,0.0,801,Low,0.114
268,48,20260613,2026-06-13,2,119486.58,0,0.0,640,Low,0.427
269,49,20260613,2026-06-13,1,-634.84,2,124.09,799,Medium,0.288
270,50,20260613,2026-06-13,3,-11246.6,3,7547.22,629,Medium,0.629
271,51,20260613,2026-06-13,1,-57200.94,0,0.0,778,Medium,0.365
272,52,20260613,2026-06-13,1,40661.52,2,2835.24,583,Medium,0.261
273,53,20260613,2026-06-13,3,-197632.68,2,8385.04,655,Low,0.682
274,54,20260613,2026-06-13,2,17551.03,5,6473.1,752,High,0.95
275,55,20260613,2026-06-13,3,-288539.68,4,17280.99,594,High,0.639
276,56,20260613,2026-06-13,2,-176832.57,3,17205.23,608,Medium,0.858
277,57,20260613,2026-06-13,2,-242162.32,2,275.07,758,Low,0.944
278,58,20260613,2026-06-13,2,59452.11,5,8469.57,806,Medium,0.568
279,59,20260613,2026-06-13,2,157865.39,0,0.0,816,Medium,0.067
280,60,20260613,2026-06-13,2,90531.0,0,0.0,709,Low,0.52
281,61,20260613,2026-06-13,1,-2765.47,1,17424.67,834,Low,0.363
282,62,20260613,2026-06-13,2,-237269.73,3,7037.86,819,Medium,0.807
283,63,20260613,2026-06-13,2,41177.02,1,18536.82,747,Low,0.786
284,64,20260613,2026-06-13,1,38420.5,1,30.13,582,Low,0.533
285,65,20260613,2026-06-13,2,-241669.94,2,11968.62,712,Medium,0.815
286,66,20260613,2026-06-13,3,-202107.77,3,8615.21,566,High,0.868
287,67,20260613,2026-06-13,2,23113.58,0,0.0,642,Low,0.679
288,68,20260613,2026-06-13,2,-143264.29,2,28152.26,671,Medium,0.617
289,69,20260613,2026-06-13,3,212165.57,0,0.0,595,Medium,0.577
290,70,20260613,2026-06-13,1,32496.86,3,5286.94,578,Low,0.499
291,71,20260613,2026-06-13,1,-99992.25,0,0.0,829,Medium,0.685
292,72,20260613,2026-06-13,2,4043.31,0,0.0,755,Low,0.848
293,73,20260613,2026-06-13,2,-313658.32,2,10026.44,630,Medium,0.762
294,74,20260613,2026-06-13,2,-291480.97,0,0.0,677,Low,0.26
295,75,20260613,2026-06-13,2,-310413.84,2,275.58,712,Low,0.026
296,76,20260613,2026-06-13,3,-289485.92,1,2741.84,681,Low,0.49
297,77,20260613,2026-06-13,2,37608.42,3,5331.86,791,Low,0.496
298,78,20260613,2026-06-13,1,-284522.32,0,0.0,782,High,0.631
299,79,20260613,2026-06-13,1,-32892.29,0,0.0,668,Low,0.243
300,80,20260613,2026-06-13,1,3542.42,2,1474.53,638,High,0.253
301,81,20260613,2026-06-13,2,-308636.77,2,9420.54,639,Low,0.311
302,82,20260613,2026-06-13,1,39894.42,1,10064.72,823,Medium,0.275
303,83,20260613,2026-06-13,3,-377966.49,1,821.14,765,Medium,0.389
304,84,20260613,2026-06-13,1,18947.23,2,8168.17,617,Low,0.137
305,85,20260613,2026-06-13,1,-1571.56,1,13069.59,807,Low,0.434
306,86,20260613,2026-06-13,2,-346467.8,2,5739.43,590,Low,0.921
307,87,20260613,2026-06-13,2,-110668.94,1,1298.11,578,High,0.15
308,88,20260613,2026-06-13,2,486753.95,2,6917.14,772,High,0.079
309,89,20260613,2026-06-13,2,-353392.25,0,0.0,818,Low,0.224
310,90,20260613,2026-06-13,1,-262529.03,0,0.0,764,High,0.126
311,91,20260613,2026-06-13,2,16851.08,6,13721.88,581,High,0.579
312,92,20260613,2026-06-13,2,-567616.26,0,0.0,677,Medium,0.571
313,93,20260613,2026-06-13,2,-115367.31,1,5897.33,791,Medium,0.99
314,94,20260613,2026-06-13,2,47558.07,5,3779.45,750,Medium,0.708
315,95,20260613,2026-06-13,2,-328595.15,0,0.0,669,Medium,0.316
316,96,20260613,2026-06-13,1,-1508.23,2,61.38,567,Medium,0.182
317,97,20260613,2026-06-13,1,-349979.94,0,0.0,607,Low,0.912
318,98,20260613,2026-06-13,2,-329034.02,2,20561.0,699,Low,0.635
319,99,20260613,2026-06-13,2,-139696.15,1,2665.72,618,Medium,0.448
320,100,20260613,2026-06-13,3,-220384.97,4,18275.54,773,Medium,0.561
321,101,20260613,2026-06-13,2,-145505.12,0,0.0,752,Low,0.401
322,102,20260613,2026-06-13,1,40740.37,2,205.21,616,Low,0.374
323,103,20260613,2026-06-13,1,-12600.13,2,1533.05,662,Low,0.615
324,104,20260613,2026-06-13,3,-225593.48,3,13172.03,617,Medium,0.422
325,105,20260613,2026-06-13,1,-284988.9,0,0.0,809,Medium,0.97
326,106,20260613,2026-06-13,1,-322834.49,0,0.0,713,Low,0.7
327,107,20260613,2026-06-13,3,-186496.19,3,17205.75,702,Medium,0.703
328,108,20260613,2026-06-13,2,-321356.19,0,0.0,656,High,0.855
329,109,20260613,2026-06-13,1,-2304.51,2,141.13,554,Low,0.05
330,110,20260613,2026-06-13,2,156276.49,0,0.0,829,Low,0.769
331,111,20260613,2026-06-13,3,-153059.37,5,11033.58,794,Medium,0.793
332,112,20260613,2026-06-13,1,-5915.47,1,3883.9,687,Medium,0.64
333,113,20260613,2026-06-13,2,24716.63,4,9859.1,668,Medium,0.497
334,114,20260613,2026-06-13,2,38454.7,3,5515.62,834,Low,0.299
335,115,20260613,2026-06-13,2,53296.05,2,2985.85,794,Low,0.716
336,116,20260613,2026-06-13,1,22974.72,0,0.0,610,High,0.7
337,117,20260613,2026-06-13,3,409978.13,0,0.0,607,High,0.084
338,118,20260613,2026-06-13,2,-1135.76,4,10601.67,811,Low,0.463
339,119,20260613,2026-06-13,1,27768.59,1,9999.04,598,Low,0.497
340,120,20260613,2026-06-13,4,-204580.77,6,10847.51,586,Medium,0.781
341,121,20260613,2026-06-13,2,-81128.84,1,2988.28,839,Low,0.428
342,122,20260613,2026-06-13,2,265070.79,0,0.0,653,High,0.753
343,123,20260613,2026-06-13,2,97332.28,0,0.0,695,Low,0.844
344,124,20260613,2026-06-13,1,293431.19,0,0.0,754,Medium,0.64
345,125,20260613,2026-06-13,1,7704.7,2,3101.86,556,Medium,0.603
346,126,20260613,2026-06-13,2,118781.6,0,0.0,818,Low,0.965
347,127,20260613,2026-06-13,1,-1317.71,1,10772.31,648,Low,0.63
348,128,20260613,2026-06-13,1,36795.89,1,8218.63,575,Medium,0.77
349,129,20260613,2026-06-13,3,-152615.42,2,213.67,681,Medium,0.903
350,130,20260613,2026-06-13,2,44153.23,3,19577.14,547,Medium,0.426
351,131,20260613,2026-06-13,2,43769.18,2,4096.14,809,Medium,0.135
352,132,20260613,2026-06-13,1,-94321.02,0,0.0,653,Medium,0.99
353,133,20260613,2026-06-13,2,263938.05,2,93.38,745,High,0.341
354,134,20260613,2026-06-13,1,34620.62,2,116.64,573,Medium,0.128
355,135,20260613,2026-06-13,2,28825.73,4,14892.9,772,High,0.493
356,136,20260613,2026-06-13,2,83766.28,0,0.0,760,Low,0.366
357,137,20260613,2026-06-13,1,20137.96,3,127.7,758,Low,0.255
358,138,20260613,2026-06-13,2,-34311.85,2,23920.89,761,Low,0.108
359,139,20260613,2026-06-13,3,192985.81,5,20216.82,602,Medium,0.388
360,140,20260613,2026-06-13,2,-2757.66,0,0.0,720,Low,0.119
